School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Donations,Gender of Students,KME Peak Body,Takiwā,Territorial Authority,Regional Council,Local Office,Education Region,General Electorate,Māori Electorate,Neighbourhood (SA2 code),Neighbourhood (SA2),Ward,Latitude,Longitude,Enrolment Scheme,Equity Index (EQI),Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International,Isolation Index,Language of Instruction,Boarding Facilities,Cohort Entry,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ruawai College,09-439 2216,admin@ruawaicollege.school.nz,Aidyn Rasmussen,http://www.ruawaicollege.school.nz,4375 State Highway 12 ,,Ruawai,PO Box 7,,Ruawai,0549,Rural other,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109400,Rūāwai-Matakohe,Otamatea General Ward,-36.122571,174.011673,No,526,145,96,70,14,3,0,0,0,1.86,All students taught in English/other setting,No,No,Open
23,Rodney College,09-4236030,eo@rodneycollege.school.nz,Laurence Caltaux,http://www.rodneycollege.school.nz,287 Rodney Street ,,Wellsford,287 Rodney Street,,Wellsford,0900,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,110501,Wellsford,Rodney Ward,-36.288160,174.520831,Yes,489,368,276,144,31,28,8,3,0,1.06,All students taught in English/other setting,No,No,Open
24,Mahurangi College,09-4258039,admin@mahurangi.school.nz,Tony Giles,http://www.mahurangi.school.nz,Woodcocks Road ,,Warkworth,PO Box 64,,Warkworth,0941,Small urban area,Secondary (Year 7-15),,State,Donations may be requested,Co-Educational,,,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,111100,Warkworth West,Rodney Ward,-36.406517,174.655544,Yes,441,1581,1277,294,195,127,31,25,37,0.61,All students taught in English/other setting,No,No,Open
25,Orewa College,09-4273833,admin@orewacollege.nz,Wiri Warriner,https://www.orewacollege.nz/,76 Riverside Road ,,Orewa,PO Box 345,,Orewa,0946,Large urban area,Secondary (Year 7-15),,State,Donations may be requested,Co-Educational,,,Hibiscus and Bays Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Whangaparāoa,Te Tai Tokerau,112901,Orewa South,Albany Ward,-36.591698,174.689747,Yes,432,2282,1748,315,149,451,86,66,76,0.56,All students taught in English/other setting,No,No,Open
26,Kaipara College,09-4208640 Ext 851,info@kaipara.school.nz,Jane Coup,http://www.kaipara.school.nz/,Rautawhiri Road ,,Helensville,Rautawhiri Road,,Helensville,0800,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,112401,Helensville,Rodney Ward,-36.680156,174.459138,Yes,460,721,632,229,57,43,13,7,7,0.91,All students taught in English/other setting,No,No,Open
27,Long Bay College,09-4779009,office@lbc.school.nz,CJ Healey,http://www.longbaycollege.com,Ashley Avenue ,Torbay,Auckland,PO Box 89007,Torbay,Auckland,0742,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Hibiscus and Bays Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,116500,Long Bay,Albany Ward,-36.691395,174.738757,Yes,422,1960,1307,155,56,606,94,44,127,0.30,All students taught in English/other setting,No,No,Open
28,Rangitoto College,09-4770150 Ext 600,info@rangitoto.school.nz,Greg Thornton,http://www.rangitoto.school.nz,564 East Coast Road ,Browns Bay,Auckland,PO Box 93601,Browns Bay,Auckland,0753,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Upper Harbour Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,119700,Windsor Park,Albany Ward,-36.737197,174.736684,Yes,397,4167,1568,208,81,2500,202,36,221,0.20,All students taught in English/other setting,No,No,Open
29,Kristin School,09-4159566,kristin@kristin.school.nz,Kim Green,http://www.kristin.school.nz/,360 Albany Highway ,Albany,Auckland,PO Box 300087,Albany,Auckland,0752,Major urban area,Composite,,Private : Fully Registered,Not applicable,Co-Educational,,,Upper Harbour Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,117400,Albany West,Albany Ward,-36.742989,174.692243,No,not applicable,1743,934,42,19,866,41,6,38,not applicable,All students taught in English/other setting,No,No,Open
30,Glenfield College,09-4449066,admin@gc.ac.nz,Rakesh Govind,https://www.gc.ac.nz/,60 Kaipatiki Road ,Glenfield,Auckland,PO Box 40176,Glenfield,North Shore City,0747,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Kaipātiki Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,123100,Glenfield West,North Shore Ward,-36.779801,174.714953,No,466,768,293,109,91,408,34,8,9,0.10,All students taught in English/other setting,No,No,Open
31,Birkenhead College,09-4839039,office@birkenhead.school.nz,Craig Waller,http://www.birkenhead.school.nz/,140 Birkdale Road ,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,0746,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Kaipātiki Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,122802,Birkdale Central,North Shore Ward,-36.799175,174.701151,No,464,475,246,104,115,108,22,6,18,0.17,All students taught in English/other setting,No,No,Open
32,Northcote College,09-4810141,office@northcote.school.nz,Vicki Barrie,http://www.northcote.school.nz,Kauri Glen Road ,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,0627,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Kaipātiki Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,127300,Northcote South (Auckland),North Shore Ward,-36.808881,174.733677,Yes,428,1603,1030,221,145,503,83,24,133,0.14,All students taught in English/other setting,No,No,Open
35,Carmel College,09-4861132,admin@carmel.school.nz,Sarah Kemble,http://www.carmel.school.nz/,108 Shakespeare Road ,Milford,Auckland,PO Box 31142,Milford,North Shore City,0741,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Girls School,,,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,126601,Takapuna West,North Shore Ward,-36.779176,174.756742,Yes,382,1100,656,74,55,410,69,20,39,0.05,All students taught in English/other setting,No,No,Open
36,Takapuna Grammar School,09-4894167,office@takapuna.school.nz,Mary Nixon,http://www.takapuna.school.nz,210 Lake Road ,Takapuna,Auckland,PO Box 331096,Takapuna,Auckland,0740,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,129300,Belmont (Auckland),North Shore Ward,-36.800616,174.788477,Yes,393,2265,1562,183,64,679,94,49,201,0.17,All students taught in English/other setting,No,No,Open
37,Westlake Boys High School,09-4108667,office@westlake.school.nz,Paul Fordham,http://www.westlake.school.nz,Forrest Hill Road ,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,0620,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Boys School,,,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,123400,Forrest Hill West,North Shore Ward,-36.777366,174.749491,Yes,399,2773,1437,258,160,1242,116,66,165,0.03,Some students taught in te reo Māori,No,No,Open
38,Westlake Girls' High School,09-4894169,office@westlakegirls.school.nz,Jane Stanley,http://www.westlakegirls.school.nz,2 Wairau Road ,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,0627,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Girls School,,,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,126601,Takapuna West,North Shore Ward,-36.782458,174.752309,Yes,403,2289,1142,234,145,1088,116,51,138,0.03,All students taught in English/other setting,No,No,Open
39,Rosmini College,09-4895417,ebarnard@rosmini.school.nz,Nixon Cooper,http://www.rosmini.school.nz,36 Dominion Street ,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,0622,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Boys School,,,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,126601,Takapuna West,North Shore Ward,-36.792443,174.760146,No,387,1208,798,121,92,357,63,17,39,0.08,All students taught in English/other setting,No,No,Open
40,Rutherford College,09-8349790,admin@rutherford.school.nz,Gary Moore,https://www.rutherford.school.nz/,Kotuku Street ,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,0610,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,124800,Te Atatū Peninsula West,Waitākere Ward,-36.852590,174.646309,Yes,459,1607,752,326,317,481,88,32,38,0.32,All students taught in English/other setting,No,No,Open
41,Macleans College,09-5352620,Beyza.McEvoy@macleans.school.nz,Steven Hargreaves,http://www.macleans.school.nz,2 Macleans Road ,Bucklands Beach,Auckland,Private Bag 94201,Howick,Auckland,2145,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Pakuranga,Tāmaki Makaurau,148000,Eastern Beach,Howick Ward,-36.882722,174.914424,Yes,385,3078,869,91,71,2234,86,83,246,0.41,All students taught in English/other setting,No,No,Open
42,Green Bay High School,09-8178173,office@greenbayhigh.school.nz,Fiona Barker,http://www.greenbayhigh.school.nz,143-161 Godley Road ,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,0604,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Whau Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,New Lynn,Tāmaki Makaurau,137300,Green Bay North,Whau Ward,-36.930950,174.669395,Yes,430,1959,1415,261,178,394,122,20,42,0.08,All students taught in English/other setting,No,No,Open
43,Massey High School,09-8310500,office@masseyhigh.school.nz,Alastair Fairley,http://www.masseyhigh.school.nz/,274 Don Buck Road ,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,0614,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Upper Harbour,Te Tai Tokerau,121701,Massey West,Waitākere Ward,-36.841880,174.601693,Yes,486,2113,766,456,570,455,73,11,17,0.35,All students taught in English/other setting,No,No,Open
44,Waitakere College,09-8367890,secretary@waitakerecollege.school.nz,Mark Shanahan,https://www.waitakerecollege.school.nz/,42 Rathgar Road ,Henderson,Auckland,PO Box 21144,Henderson,Waitakere,0650,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,125701,Henderson Lincoln South,Waitākere Ward,-36.867097,174.620712,Yes,480,1988,748,509,617,602,90,36,11,0.24,Some students taught in te reo Māori,No,No,Open
45,Henderson High School,09-8389085,admin@hhs.school.nz,Philippa Durkin,http://www.hhs.school.nz,Henderson Valley Road ,Henderson,Auckland,PO Box 21141,Henderson,Waitakere,0650,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,126702,Henderson West,Waitākere Ward,-36.883656,174.628205,Yes,481,1048,449,263,330,296,50,8,5,0.21,All students taught in English/other setting,No,No,Open
46,Liston College,09-8389350,nicki.packer@liston.school.nz,Steve Dooley,http://www.liston.school.nz,69 Rathgar Road ,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,0610,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Boys School,,,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,125701,Henderson Lincoln South,Waitākere Ward,-36.866064,174.623159,No,414,856,378,97,230,329,34,17,23,0.24,All students taught in English/other setting,No,No,Open
47,St Dominic's Catholic College (Henderson),09-8390380,stdoms@stdoms.ac.nz,Anna Swann,http://www.stdoms.ac.nz,29 Rathgar Road ,Henderson,Auckland,PO Box 21123,Henderson,Waitakere,0650,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Girls School,,,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,125701,Henderson Lincoln South,Waitākere Ward,-36.868859,174.621071,Yes,423,851,348,79,205,327,35,10,36,0.24,All students taught in English/other setting,No,No,Open
48,Western Springs College-Ngā Puna o Waiōrea,09-8156730,admin@wsc.school.nz,Ivan Davis,http://www.westernsprings.school.nz,Motions Road ,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Waitematā Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Mt Albert,Tāmaki Makaurau,130300,Westmere South-Western Springs,Waitematā and Gulf Ward,-36.861976,174.717535,Yes,422,1758,999,479,235,421,77,24,105,0.18,Some students taught in te reo Māori,No,No,Open
49,Selwyn College,09-5219610,info@selwyn.school.nz,Sheryll Ofner,http://www.selwyn.school.nz,Kohimarama Road ,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,,Ōrākei Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Tāmaki,Tāmaki Makaurau,141802,Kohimarama Stadium,Ōrākei Ward,-36.862330,174.838551,Yes,411,1588,917,121,118,536,172,23,96,0.26,Some students taught in a Pacific language,No,No,Open
50,St Mary's College (Ponsonby),09-3766568,office@stmaryak.school.nz,Sarah Dwan,http://www.stmaryak.school.nz,11 New Street ,Ponsonby,Auckland,PO Box 47003,Ponsonby,Auckland,1144,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Girls School,,,Waitematā Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Auckland Central,Tāmaki Makaurau,130200,Saint Marys Bay,Waitematā and Gulf Ward,-36.846003,174.748234,No,388,998,542,123,258,314,27,11,39,0.08,All students taught in English/other setting,No,No,Open
51,St Paul's College (Ponsonby),09-3761287,stpauls@stpaulscollege.co.nz,Keith Simento,http://www.stpaulscollege.co.nz/,183 Richmond Road ,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Boys School,,,Waitematā Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Auckland Central,Tāmaki Makaurau,130400,Ponsonby West,Waitematā and Gulf Ward,-36.854456,174.737790,No,480,395,97,78,347,18,12,1,0,0.11,All students taught in English/other setting,No,No,Open
