building_id,site_id,building_name,building_type,year_built,floor_area_sqm,num_floors,condition_rating,last_assessed_date
66,12,Technology Block,CLASSROOM,2020,128,2,FAIR,2020-04-29
67,12,Main Office,ADMIN,1960,194,2,GOOD,2024-07-20
68,12,Junior Toilets,TOILET_BLOCK,2016,740,1,GOOD,2020-10-07
69,12,Assembly Hall,HALL,1992,165,1,GOOD,2020-07-26
70,12,Changing Rooms,SPORTS_PAVILION,1954,196,1,GOOD,2020-11-10
71,12,Metal Workshop,WORKSHOP,1993,436,2,GOOD,2024-01-30
72,12,School Library,LIBRARY,2021,428,2,POOR,2024-04-24
73,12,Sports Hall,GYM,1953,419,1,GOOD,2021-02-14
74,13,Block B,CLASSROOM,1956,675,1,POOR,2020-04-03
75,13,Staff Block,ADMIN,1957,677,2,POOR,2021-03-07
76,13,Sports Amenities,TOILET_BLOCK,1973,651,1,POOR,2023-02-04
77,13,Sports Store,STORAGE,1994,82,1,GOOD,2024-01-26
78,13,Wood Workshop,WORKSHOP,1973,435,2,FAIR,2024-03-23
79,13,Performing Arts Centre,HALL,1978,564,2,GOOD,2020-04-20
80,13,School Library,LIBRARY,1981,408,1,GOOD,2022-01-20
81,13,Sports Pavilion,SPORTS_PAVILION,1976,428,1,GOOD,2021-10-21
82,13,Sports Hall,GYM,1977,187,2,GOOD,2023-11-27
83,14,Block E,CLASSROOM,1997,201,2,FAIR,2023-10-11
84,14,Main Office,ADMIN,1955,266,1,GOOD,2023-08-15
85,14,Staff Facilities,TOILET_BLOCK,2000,427,1,GOOD,2024-03-29
86,14,Resource Centre,LIBRARY,1994,527,1,FAIR,2022-11-11
87,14,Technology Workshop,WORKSHOP,1988,751,2,CRITICAL,2020-09-04
88,14,Equipment Store,STORAGE,2008,52,1,POOR,2022-12-04
89,14,Changing Rooms,SPORTS_PAVILION,2008,748,1,GOOD,2024-08-29
90,14,Performing Arts Centre,HALL,1993,87,1,FAIR,2020-10-28
91,15,Arts Block,CLASSROOM,2008,438,1,FAIR,2020-09-07
92,15,Staff Block,ADMIN,2011,139,2,GOOD,2020-07-29
93,15,Senior Toilets,TOILET_BLOCK,1998,596,1,POOR,2022-01-23
94,15,Main Gymnasium,GYM,1998,597,1,POOR,2024-01-10
95,15,Performing Arts Centre,HALL,1996,252,2,GOOD,2021-10-17
96,15,School Library,LIBRARY,1961,770,1,POOR,2022-09-26
97,15,Sports Pavilion,SPORTS_PAVILION,2003,337,1,FAIR,2020-11-12
98,15,Wood Workshop,WORKSHOP,2019,752,1,FAIR,2023-11-05
99,16,Technology Block,CLASSROOM,2014,527,1,FAIR,2020-08-07
100,16,Administration Building,ADMIN,2000,458,1,FAIR,2023-07-24
101,16,Sports Amenities,TOILET_BLOCK,1981,271,1,FAIR,2021-07-21
102,16,Metal Workshop,WORKSHOP,1950,276,2,POOR,2024-07-11
103,16,Sports Hall,GYM,1958,343,2,POOR,2023-05-17
104,16,School Library,LIBRARY,2006,677,1,CRITICAL,2020-07-10
105,16,Equipment Store,STORAGE,1998,30,1,GOOD,2023-03-16
106,16,Changing Rooms,SPORTS_PAVILION,2015,697,1,GOOD,2020-02-22
107,17,Block A,CLASSROOM,1950,167,1,FAIR,2024-10-30
108,17,Staff Block,ADMIN,2020,228,1,GOOD,2024-03-08
109,17,Staff Facilities,TOILET_BLOCK,2008,776,1,POOR,2024-07-28
110,17,Changing Rooms,SPORTS_PAVILION,2000,664,1,GOOD,2024-02-17
111,17,School Hall,HALL,1964,135,1,FAIR,2022-08-29
112,17,Wood Workshop,WORKSHOP,1990,522,1,GOOD,2024-03-12
113,17,Resource Centre,LIBRARY,2003,89,1,GOOD,2020-06-28
114,17,Sports Store,STORAGE,1988,98,1,FAIR,2022-07-05
115,17,Main Gymnasium,GYM,1955,512,1,POOR,2020-03-17
116,17,Block E,CLASSROOM,2001,358,1,GOOD,2023-10-18
117,18,Block D,CLASSROOM,2021,493,1,POOR,2021-04-03
118,18,Main Office,ADMIN,2013,479,1,POOR,2020-09-18
119,18,Staff Facilities,TOILET_BLOCK,1971,363,1,FAIR,2022-11-06
120,19,Junior Block,CLASSROOM,2000,353,2,GOOD,2022-05-03
121,19,Staff Block,ADMIN,1959,760,1,GOOD,2023-01-11
122,19,Senior Toilets,TOILET_BLOCK,2007,508,1,FAIR,2024-10-14
123,19,Grounds Shed,STORAGE,1961,52,1,GOOD,2024-09-04
124,19,Sports Pavilion,SPORTS_PAVILION,1993,287,1,GOOD,2021-06-21
125,19,School Hall,HALL,1984,405,1,FAIR,2021-02-10
126,20,Block D,CLASSROOM,1990,197,1,FAIR,2022-08-05
127,20,Main Office,ADMIN,2020,434,2,POOR,2023-08-19
128,20,Junior Toilets,TOILET_BLOCK,2017,687,1,FAIR,2022-06-25
129,20,School Library,LIBRARY,2008,234,1,POOR,2021-11-22
130,20,Grounds Shed,STORAGE,1953,29,1,GOOD,2024-04-12
131,20,Fitness Centre,GYM,2009,91,1,GOOD,2021-05-20
132,20,School Hall,HALL,1962,598,1,FAIR,2024-06-13
133,20,Cricket Pavilion,SPORTS_PAVILION,1981,670,1,POOR,2022-01-17
134,20,Metal Workshop,WORKSHOP,2001,165,1,GOOD,2022-12-17
135,21,Block B,CLASSROOM,2001,614,1,FAIR,2021-08-23
136,21,Administration Building,ADMIN,1999,206,2,GOOD,2022-08-03
137,21,Staff Facilities,TOILET_BLOCK,1962,363,1,CRITICAL,2024-02-14
138,21,Changing Rooms,SPORTS_PAVILION,1990,200,1,CRITICAL,2024-02-19
139,21,Sports Store,STORAGE,1960,60,1,GOOD,2022-03-17
140,21,Main Gymnasium,GYM,1955,676,2,FAIR,2022-05-13
141,21,Learning Centre,LIBRARY,2017,163,1,POOR,2020-11-21
142,21,Food Technology,WORKSHOP,1953,524,1,GOOD,2020-12-15
143,21,School Hall,HALL,2022,489,2,GOOD,2022-06-06
144,21,Block C,CLASSROOM,1967,680,2,FAIR,2022-09-28
145,22,Senior Block,CLASSROOM,2007,622,2,GOOD,2020-04-14
146,22,Staff Block,ADMIN,1989,710,1,POOR,2021-08-18
147,22,Senior Toilets,TOILET_BLOCK,1988,626,1,POOR,2021-10-27
148,22,School Hall,HALL,1981,732,1,POOR,2022-11-22
149,23,Block B,CLASSROOM,1951,348,2,FAIR,2024-07-09
150,23,Main Office,ADMIN,1962,56,1,GOOD,2021-04-11
151,23,Junior Toilets,TOILET_BLOCK,1994,745,1,FAIR,2022-01-26
152,23,School Library,LIBRARY,1960,498,2,GOOD,2020-01-14
153,23,Assembly Hall,HALL,2001,444,2,CRITICAL,2023-12-15
154,23,Sports Pavilion,SPORTS_PAVILION,2014,408,1,POOR,2023-03-17
155,24,Science Block,CLASSROOM,2009,380,2,FAIR,2022-09-22
156,24,Main Office,ADMIN,2020,130,2,GOOD,2024-01-18
157,24,Staff Facilities,TOILET_BLOCK,2020,612,1,GOOD,2020-01-09
158,24,School Library,LIBRARY,1971,80,2,FAIR,2023-10-31
159,24,Changing Rooms,SPORTS_PAVILION,2021,694,1,CRITICAL,2022-04-16
160,24,Main Gymnasium,GYM,1980,105,2,GOOD,2021-02-03
161,24,Wood Workshop,WORKSHOP,1989,651,1,POOR,2024-07-22
162,24,Assembly Hall,HALL,1952,91,1,GOOD,2021-10-26
163,24,Equipment Store,STORAGE,2018,74,1,FAIR,2023-03-28
164,24,Science Block,CLASSROOM,1950,699,2,POOR,2023-08-23
165,24,Block D,CLASSROOM,1953,730,1,FAIR,2021-02-24
166,24,Technology Block,CLASSROOM,1982,53,2,FAIR,2022-07-15
167,25,Junior Block,CLASSROOM,1975,634,2,GOOD,2023-07-01
168,25,Main Office,ADMIN,1982,347,1,POOR,2021-05-09
169,25,Sports Amenities,TOILET_BLOCK,1963,559,1,GOOD,2020-06-01
170,25,Grounds Shed,STORAGE,2002,53,1,CRITICAL,2023-12-24
171,25,School Hall,HALL,1971,631,1,GOOD,2020-08-02
172,25,Sports Hall,GYM,1963,798,2,FAIR,2023-06-15
173,25,School Library,LIBRARY,1978,421,2,FAIR,2021-09-11
174,25,Cricket Pavilion,SPORTS_PAVILION,1957,324,1,GOOD,2021-09-23
175,25,Technology Workshop,WORKSHOP,1990,63,1,FAIR,2022-03-26
176,25,Technology Block,CLASSROOM,1975,387,1,CRITICAL,2024-09-28
177,26,Arts Block,CLASSROOM,1972,447,2,FAIR,2023-08-29
178,26,Main Office,ADMIN,1997,68,1,GOOD,2021-06-23
179,26,Senior Toilets,TOILET_BLOCK,1962,166,1,POOR,2020-01-03
180,26,Assembly Hall,HALL,1954,471,1,POOR,2023-11-26
181,26,Wood Workshop,WORKSHOP,1982,695,1,CRITICAL,2022-11-26
182,26,Sports Store,STORAGE,1968,85,1,POOR,2021-04-25
183,26,Fitness Centre,GYM,1984,188,1,GOOD,2022-10-08
184,26,Learning Centre,LIBRARY,1997,289,2,FAIR,2024-08-09
185,26,Sports Pavilion,SPORTS_PAVILION,1960,76,1,CRITICAL,2023-08-23
186,26,Block B,CLASSROOM,1971,80,1,GOOD,2021-03-18
187,26,Arts Block,CLASSROOM,1983,247,2,GOOD,2020-03-26
188,27,Arts Block,CLASSROOM,1972,417,1,FAIR,2020-09-29
189,27,Administration Building,ADMIN,1971,134,1,GOOD,2024-04-01
190,27,Junior Toilets,TOILET_BLOCK,1987,256,1,GOOD,2022-05-31
191,27,Sports Hall,GYM,1981,463,2,POOR,2022-08-11
192,27,Cricket Pavilion,SPORTS_PAVILION,1966,291,1,GOOD,2024-07-03
193,27,School Hall,HALL,2013,562,1,GOOD,2021-02-14
194,27,Equipment Store,STORAGE,2017,58,1,FAIR,2020-03-28
195,27,Resource Centre,LIBRARY,2001,193,1,GOOD,2021-07-28
196,28,Science Block,CLASSROOM,1995,406,1,FAIR,2021-02-19
197,28,Main Office,ADMIN,2000,687,1,POOR,2020-01-09
198,28,Staff Facilities,TOILET_BLOCK,1995,393,1,POOR,2020-10-19
199,28,Performing Arts Centre,HALL,2012,268,1,POOR,2022-09-29
200,28,Metal Workshop,WORKSHOP,2020,502,2,GOOD,2024-11-07
201,28,Changing Rooms,SPORTS_PAVILION,2009,161,1,POOR,2021-07-27
202,28,Equipment Store,STORAGE,1993,43,1,FAIR,2021-01-24
203,28,Sports Hall,GYM,1973,667,1,GOOD,2023-08-17
204,29,Block D,CLASSROOM,1959,717,1,GOOD,2022-12-04
205,29,Staff Block,ADMIN,1960,552,2,GOOD,2023-11-30
206,29,Staff Facilities,TOILET_BLOCK,1958,793,1,GOOD,2024-07-21
207,29,Technology Workshop,WORKSHOP,1990,794,2,GOOD,2022-11-18
208,29,Learning Centre,LIBRARY,2015,118,2,FAIR,2020-10-24
209,29,Sports Hall,GYM,1963,254,2,FAIR,2020-03-31
210,29,Assembly Hall,HALL,1971,307,2,POOR,2020-12-07
211,29,Cricket Pavilion,SPORTS_PAVILION,1953,496,1,GOOD,2024-03-05
212,29,Maintenance Shed,STORAGE,2011,40,1,FAIR,2020-11-29
213,30,Arts Block,CLASSROOM,1960,364,2,GOOD,2022-07-15
214,30,Administration Building,ADMIN,2008,318,2,FAIR,2024-08-18
215,30,Junior Toilets,TOILET_BLOCK,2006,717,1,GOOD,2020-10-15
216,30,Changing Rooms,SPORTS_PAVILION,1984,162,1,CRITICAL,2021-04-22
217,30,School Library,LIBRARY,1999,199,2,POOR,2024-03-26
218,30,Main Gymnasium,GYM,1965,306,1,FAIR,2023-03-05
219,30,Performing Arts Centre,HALL,1997,334,1,FAIR,2022-07-19
220,30,Wood Workshop,WORKSHOP,2003,450,2,FAIR,2022-03-10
221,30,Equipment Store,STORAGE,2006,92,1,POOR,2024-03-30
222,30,Science Block,CLASSROOM,1986,124,1,FAIR,2021-01-02
223,31,Science Block,CLASSROOM,2017,715,2,GOOD,2021-12-11
224,31,Main Office,ADMIN,1994,478,2,FAIR,2020-01-19
225,31,Staff Facilities,TOILET_BLOCK,1992,751,1,FAIR,2020-05-01
226,31,School Library,LIBRARY,1974,332,1,GOOD,2021-12-10
227,31,Main Gymnasium,GYM,1961,280,2,GOOD,2020-02-12
228,31,Changing Rooms,SPORTS_PAVILION,2003,232,1,GOOD,2022-05-01
229,32,Block E,CLASSROOM,1983,244,1,FAIR,2020-03-22
230,32,Administration Building,ADMIN,2020,233,2,FAIR,2024-05-09
231,32,Junior Toilets,TOILET_BLOCK,1967,239,1,GOOD,2021-07-16
232,32,Food Technology,WORKSHOP,1972,707,2,CRITICAL,2024-06-10
233,32,School Hall,HALL,2021,316,2,GOOD,2022-01-08
234,32,Cricket Pavilion,SPORTS_PAVILION,2018,278,1,FAIR,2022-02-04
235,32,Main Gymnasium,GYM,2009,684,2,FAIR,2023-01-15
236,32,Sports Store,STORAGE,1962,26,1,GOOD,2021-03-31
237,32,School Library,LIBRARY,2012,331,2,FAIR,2023-08-24
238,32,Block C,CLASSROOM,2011,328,2,POOR,2021-12-29
239,32,Block A,CLASSROOM,2006,82,1,POOR,2022-01-05
240,35,Senior Block,CLASSROOM,1980,96,1,GOOD,2024-05-01
241,35,Staff Block,ADMIN,1959,688,2,GOOD,2024-04-23
242,35,Staff Facilities,TOILET_BLOCK,1988,589,1,GOOD,2021-03-23
243,35,Grounds Shed,STORAGE,1961,22,1,POOR,2024-08-19
244,35,Cricket Pavilion,SPORTS_PAVILION,2006,296,1,FAIR,2022-07-20
245,35,Metal Workshop,WORKSHOP,1988,344,2,FAIR,2021-10-12
246,35,Main Gymnasium,GYM,1976,144,1,FAIR,2024-09-10
247,35,Performing Arts Centre,HALL,2019,160,1,FAIR,2024-09-23
248,36,Senior Block,CLASSROOM,1955,398,2,FAIR,2021-12-21
249,36,Main Office,ADMIN,1963,679,2,POOR,2024-01-10
250,36,Staff Facilities,TOILET_BLOCK,1977,401,1,GOOD,2024-01-31
251,36,Resource Centre,LIBRARY,1999,306,2,GOOD,2020-03-31
252,36,Assembly Hall,HALL,2007,543,2,POOR,2023-02-21
253,36,Maintenance Shed,STORAGE,2010,36,1,POOR,2022-08-13
254,36,Metal Workshop,WORKSHOP,1970,529,2,CRITICAL,2020-01-05
255,36,Cricket Pavilion,SPORTS_PAVILION,1970,708,1,FAIR,2020-04-21
256,36,Fitness Centre,GYM,1959,375,1,FAIR,2022-06-13
257,37,Junior Block,CLASSROOM,1955,404,2,GOOD,2024-09-06
258,37,Main Office,ADMIN,1962,118,2,POOR,2022-11-16
259,37,Junior Toilets,TOILET_BLOCK,2022,387,1,POOR,2023-09-05
260,37,Performing Arts Centre,HALL,1970,793,1,FAIR,2022-08-14
261,37,Cricket Pavilion,SPORTS_PAVILION,1972,320,1,GOOD,2024-09-01
262,37,Fitness Centre,GYM,2003,345,1,FAIR,2020-09-26
263,37,Resource Centre,LIBRARY,1993,431,2,FAIR,2024-06-20
264,37,Technology Workshop,WORKSHOP,1997,352,1,FAIR,2022-04-15
265,37,Grounds Shed,STORAGE,1968,30,1,GOOD,2021-08-07
266,38,Science Block,CLASSROOM,2018,695,2,FAIR,2021-03-20
267,38,Administration Building,ADMIN,1959,703,1,GOOD,2021-05-19
268,38,Senior Toilets,TOILET_BLOCK,1970,556,1,POOR,2023-08-27
269,38,Technology Workshop,WORKSHOP,2020,456,2,CRITICAL,2023-06-16
270,38,Sports Pavilion,SPORTS_PAVILION,1994,609,1,FAIR,2021-04-04
271,38,Assembly Hall,HALL,1973,588,2,GOOD,2022-03-03
272,38,Resource Centre,LIBRARY,1989,67,2,POOR,2021-12-21
273,38,Maintenance Shed,STORAGE,1994,49,1,POOR,2022-03-10
274,38,Fitness Centre,GYM,2012,296,1,FAIR,2023-06-22
275,38,Block E,CLASSROOM,1982,524,2,GOOD,2021-08-24
276,38,Block E,CLASSROOM,2016,765,2,POOR,2024-08-11
277,39,Block C,CLASSROOM,1994,533,2,GOOD,2021-06-04
278,39,Main Office,ADMIN,1992,321,1,GOOD,2023-03-29
279,39,Sports Amenities,TOILET_BLOCK,1971,695,1,GOOD,2021-10-20
280,39,Assembly Hall,HALL,1952,302,1,POOR,2023-12-06
281,39,Cricket Pavilion,SPORTS_PAVILION,1960,574,1,GOOD,2023-10-25
282,39,Technology Workshop,WORKSHOP,1978,387,2,GOOD,2024-08-29
283,39,School Library,LIBRARY,1951,367,1,POOR,2023-01-20
284,39,Main Gymnasium,GYM,2021,524,1,GOOD,2022-11-25
285,39,Maintenance Shed,STORAGE,1968,41,1,POOR,2021-02-06
286,39,Senior Block,CLASSROOM,1983,133,2,GOOD,2024-02-07
287,39,Block B,CLASSROOM,1980,429,2,FAIR,2021-06-15
288,39,Senior Block,CLASSROOM,2008,539,1,CRITICAL,2024-11-20
289,40,Block E,CLASSROOM,1962,368,1,FAIR,2020-04-02
290,40,Staff Block,ADMIN,1975,292,2,POOR,2024-06-18
291,40,Sports Amenities,TOILET_BLOCK,2018,362,1,GOOD,2021-02-27
292,40,Fitness Centre,GYM,2002,651,1,POOR,2022-06-03
293,40,Metal Workshop,WORKSHOP,1960,477,2,GOOD,2021-08-09
294,40,Cricket Pavilion,SPORTS_PAVILION,1972,450,1,GOOD,2022-07-07
295,40,Equipment Store,STORAGE,1966,20,1,FAIR,2024-03-11
296,40,Resource Centre,LIBRARY,1957,76,1,POOR,2023-03-20
297,41,Block A,CLASSROOM,1956,367,1,FAIR,2022-11-23
298,41,Administration Building,ADMIN,1973,614,1,POOR,2022-06-26
299,41,Staff Facilities,TOILET_BLOCK,1983,281,1,GOOD,2021-10-24
300,41,Wood Workshop,WORKSHOP,1965,536,2,GOOD,2023-09-29
301,41,Main Gymnasium,GYM,1974,182,1,POOR,2020-11-11
302,41,Cricket Pavilion,SPORTS_PAVILION,1979,574,1,GOOD,2024-11-17
303,41,Performing Arts Centre,HALL,1997,184,1,GOOD,2020-11-26
304,41,Maintenance Shed,STORAGE,2019,98,1,POOR,2022-03-29
305,41,School Library,LIBRARY,1995,215,1,GOOD,2023-03-26
306,42,Junior Block,CLASSROOM,1953,748,2,FAIR,2023-01-19
307,42,Administration Building,ADMIN,1971,363,1,POOR,2023-09-26
308,42,Senior Toilets,TOILET_BLOCK,1990,168,1,GOOD,2021-11-24
309,42,Technology Workshop,WORKSHOP,1988,171,1,FAIR,2023-02-24
310,42,Fitness Centre,GYM,2011,99,1,GOOD,2020-01-02
311,42,Sports Pavilion,SPORTS_PAVILION,2015,630,1,GOOD,2023-03-09
312,42,Resource Centre,LIBRARY,2014,121,1,FAIR,2024-02-21
313,42,Maintenance Shed,STORAGE,1984,24,1,GOOD,2022-05-03
314,42,School Hall,HALL,1983,196,1,GOOD,2023-05-08
315,43,Block B,CLASSROOM,1973,307,1,GOOD,2022-08-03
316,43,Main Office,ADMIN,1974,248,2,GOOD,2023-01-03
317,43,Sports Amenities,TOILET_BLOCK,2014,74,1,GOOD,2024-07-31
318,43,Performing Arts Centre,HALL,1957,88,1,FAIR,2022-01-03
319,43,School Library,LIBRARY,1964,689,2,POOR,2023-09-19
320,43,Changing Rooms,SPORTS_PAVILION,1988,157,1,GOOD,2024-11-29
321,43,Equipment Store,STORAGE,1979,24,1,POOR,2021-08-06
322,43,Main Gymnasium,GYM,1992,736,2,GOOD,2023-12-13
323,43,Food Technology,WORKSHOP,1973,423,2,CRITICAL,2022-06-07
324,43,Arts Block,CLASSROOM,1977,653,1,FAIR,2022-04-26
325,43,Block B,CLASSROOM,1997,290,1,GOOD,2020-12-13
326,43,Science Block,CLASSROOM,2013,73,2,GOOD,2023-04-15
327,44,Block D,CLASSROOM,1969,388,2,FAIR,2022-10-19
328,44,Administration Building,ADMIN,1998,312,2,GOOD,2024-10-12
329,44,Senior Toilets,TOILET_BLOCK,1955,333,1,GOOD,2021-07-04
330,44,School Library,LIBRARY,1986,592,2,GOOD,2021-12-01
331,44,Fitness Centre,GYM,1991,618,2,GOOD,2022-08-05
332,44,Performing Arts Centre,HALL,2020,745,1,FAIR,2022-12-11
333,44,Food Technology,WORKSHOP,1953,542,2,GOOD,2020-07-06
334,44,Maintenance Shed,STORAGE,2017,66,1,GOOD,2023-01-14
335,44,Cricket Pavilion,SPORTS_PAVILION,2018,560,1,FAIR,2020-05-29
336,44,Block A,CLASSROOM,1974,607,1,FAIR,2024-03-13
337,45,Technology Block,CLASSROOM,1991,93,1,GOOD,2022-02-21
338,45,Staff Block,ADMIN,1960,422,1,CRITICAL,2022-08-23
339,45,Junior Toilets,TOILET_BLOCK,2020,643,1,GOOD,2024-03-20
340,45,Fitness Centre,GYM,1993,771,2,GOOD,2020-07-30
341,45,Equipment Store,STORAGE,1978,84,1,FAIR,2021-03-16
342,45,School Hall,HALL,1996,786,2,FAIR,2022-12-28
343,45,Food Technology,WORKSHOP,1977,145,1,GOOD,2024-05-05
344,45,Resource Centre,LIBRARY,1966,678,1,GOOD,2021-05-26
345,45,Changing Rooms,SPORTS_PAVILION,2013,99,1,FAIR,2020-02-13
346,46,Block B,CLASSROOM,1952,485,1,FAIR,2024-08-03
347,46,Administration Building,ADMIN,1982,154,2,GOOD,2020-12-05
348,46,Junior Toilets,TOILET_BLOCK,1957,434,1,FAIR,2024-09-01
349,46,Equipment Store,STORAGE,2009,53,1,GOOD,2024-10-19
350,46,School Hall,HALL,1997,793,2,FAIR,2021-10-09
351,46,Learning Centre,LIBRARY,1959,373,1,FAIR,2020-03-05
352,46,Sports Hall,GYM,2022,408,2,GOOD,2021-01-01
353,46,Changing Rooms,SPORTS_PAVILION,1989,276,1,POOR,2021-11-30
354,46,Technology Workshop,WORKSHOP,1972,751,2,GOOD,2024-02-16
355,46,Block C,CLASSROOM,1954,53,2,GOOD,2023-07-23
356,47,Arts Block,CLASSROOM,1971,282,2,GOOD,2020-12-06
357,47,Administration Building,ADMIN,2020,199,1,POOR,2020-08-17
358,47,Staff Facilities,TOILET_BLOCK,1989,672,1,CRITICAL,2023-01-19
359,47,Maintenance Shed,STORAGE,1976,95,1,GOOD,2024-07-19
360,47,Fitness Centre,GYM,1971,459,1,POOR,2022-09-05
361,47,Cricket Pavilion,SPORTS_PAVILION,2020,378,1,FAIR,2023-06-22
362,47,Learning Centre,LIBRARY,1983,696,1,GOOD,2020-12-16
363,47,Metal Workshop,WORKSHOP,1958,117,2,POOR,2020-05-19
364,47,Performing Arts Centre,HALL,1982,195,2,FAIR,2020-06-05
365,47,Block A,CLASSROOM,1973,168,2,CRITICAL,2021-01-05
366,48,Block D,CLASSROOM,1961,749,1,GOOD,2020-09-24
367,48,Main Office,ADMIN,1976,734,1,FAIR,2022-08-24
368,48,Sports Amenities,TOILET_BLOCK,1964,430,1,FAIR,2023-12-12
369,48,School Hall,HALL,2013,518,2,GOOD,2020-07-20
370,48,School Library,LIBRARY,1984,219,1,POOR,2022-02-27
371,48,Food Technology,WORKSHOP,1977,294,2,FAIR,2022-01-31
372,48,Main Gymnasium,GYM,1995,290,1,FAIR,2023-03-21
