asset_id,site_id,building_id,asset_name,asset_type,install_date,last_service_date,condition_rating,is_active
48,3,,Utility Vehicle,VEHICLE,2007-05-04,2008-03-19,FAIR,True
49,3,,Bus Bay #1,CAR_PARK,2017-08-29,2022-04-04,GOOD,True
50,3,,Basketball Hoops,SPORTS_EQUIPMENT,2007-04-02,2008-11-17,GOOD,True
51,3,17.0,Table Saw #3,MACHINERY,2006-08-13,2008-08-02,GOOD,True
52,3,12.0,Main Switchboard #3,ELECTRICAL,2005-07-28,2006-08-30,GOOD,True
53,3,10.0,CNC Router #2,MACHINERY,2012-10-12,2014-08-17,FAIR,True
54,3,,Long Jump Pit,SPORTS_EQUIPMENT,2022-04-26,2023-09-29,CRITICAL,True
55,3,,School Bus,VEHICLE,2008-04-20,2011-01-03,FAIR,True
56,3,,Swing Set,PLAYGROUND,2020-04-08,2025-01-19,GOOD,True
57,3,15.0,CNC Router #3,MACHINERY,2015-03-05,2019-02-10,GOOD,True
58,3,,Pool Fence,FENCING,2007-12-19,2010-11-29,POOR,True
59,4,,Bus Bay #3,CAR_PARK,2007-02-18,2009-08-25,FAIR,True
60,4,,Ride-on Mower,VEHICLE,2010-07-25,2012-11-14,FAIR,True
61,4,19.0,Central Heating System #3,HVAC,2015-09-19,2020-04-12,FAIR,True
62,4,19.0,Air Conditioning Unit,HVAC,2006-07-24,2010-05-31,GOOD,True
63,4,,Bus Bay #1,CAR_PARK,2012-12-16,2016-06-15,GOOD,True
64,4,,Cricket Nets #1,SPORTS_EQUIPMENT,2008-03-08,2010-03-11,POOR,True
65,4,21.0,Band Saw #1,MACHINERY,2009-01-10,2012-11-30,POOR,True
66,4,,Ride-on Mower #2,VEHICLE,2005-01-11,2009-03-11,FAIR,True
67,4,,Swimming Pool #1,SPORTS_EQUIPMENT,2010-04-08,2013-12-10,GOOD,True
68,4,,Main Bus Stop,BUS_STOP,2019-04-28,2022-08-13,GOOD,True
69,5,25.0,Ventilation System #2,HVAC,2019-08-06,2023-08-07,FAIR,True
70,5,28.0,Workshop Lathe #1,MACHINERY,2021-07-16,2023-03-22,CRITICAL,False
71,5,29.0,Table Saw #2,MACHINERY,2021-12-12,2022-04-17,CRITICAL,True
72,5,,Library Roof #3,ROOFING,2020-05-07,2025-01-16,GOOD,True
73,5,,Utility Vehicle,VEHICLE,2022-06-06,2025-01-12,GOOD,True
74,5,,Library Roof #1,ROOFING,2005-04-02,2009-03-28,GOOD,True
75,5,29.0,Main Switchboard,ELECTRICAL,2020-09-02,2024-03-16,GOOD,True
76,5,27.0,Boiler,HVAC,2013-02-25,2017-03-09,GOOD,True
77,5,,School Bus #2,VEHICLE,2013-05-25,2016-01-24,FAIR,True
78,5,,Perimeter Fence - North,FENCING,2022-09-10,2025-06-07,FAIR,True
79,5,,Netball Courts #3,SPORTS_EQUIPMENT,2018-03-30,2019-05-03,CRITICAL,True
80,5,,Drop-off Zone #1,CAR_PARK,2021-04-26,2021-12-31,GOOD,True
81,5,,Bus Bay,CAR_PARK,2009-11-03,2011-04-24,GOOD,True
82,5,,Staff Car Park #2,CAR_PARK,2012-12-24,2014-08-19,POOR,True
83,5,25.0,Table Saw,MACHINERY,2006-04-05,2006-10-21,POOR,True
84,5,,Hall Roof #1,ROOFING,2020-09-04,2022-07-12,FAIR,True
85,5,27.0,Central Heating System,HVAC,2007-02-19,2009-12-17,POOR,True
86,5,25.0,EV Charger,ELECTRICAL,2006-10-12,2008-12-21,GOOD,True
87,5,,Drop-off Zone,CAR_PARK,2013-08-11,2016-12-21,GOOD,True
88,5,,Main Bus Stop #1,BUS_STOP,2018-01-30,2018-06-05,FAIR,True
89,5,,Main Block Roof #1,ROOFING,2012-12-01,2015-10-13,GOOD,True
90,5,,Pool Fence #1,FENCING,2007-08-03,2008-07-22,FAIR,True
91,5,,Ride-on Mower #4,VEHICLE,2022-08-20,2024-09-18,GOOD,True
92,6,32.0,Central Heating System #4,HVAC,2021-05-16,2023-01-25,CRITICAL,True
93,6,,Cricket Nets #1,SPORTS_EQUIPMENT,2019-12-25,2023-08-19,GOOD,True
94,6,33.0,Table Saw,MACHINERY,2010-05-21,2014-06-24,GOOD,True
95,6,35.0,Workshop Lathe #2,MACHINERY,2009-12-28,2011-11-04,GOOD,True
96,6,31.0,Ventilation System,HVAC,2011-07-23,2012-11-08,CRITICAL,True
97,6,,School Bus #2,VEHICLE,2008-12-18,2012-07-01,FAIR,True
98,6,31.0,Workshop Lathe #1,MACHINERY,2010-06-22,2015-05-22,FAIR,True
99,6,,Pool Fence #3,FENCING,2007-11-11,2008-03-04,FAIR,True
100,6,33.0,CNC Router #3,MACHINERY,2010-01-19,2011-01-11,FAIR,True
101,7,37.0,Workshop Lathe #3,MACHINERY,2010-10-01,2015-06-15,GOOD,True
102,7,,Ride-on Mower #3,VEHICLE,2012-05-28,2016-05-20,POOR,True
103,7,36.0,Air Conditioning Unit #4,HVAC,2012-09-11,2016-07-29,FAIR,True
104,7,39.0,EV Charger #4,ELECTRICAL,2018-07-17,2020-06-16,FAIR,True
105,7,,Secondary Bus Stop,BUS_STOP,2010-11-10,2013-10-05,FAIR,True
106,7,,Junior Playground #2,PLAYGROUND,2020-02-07,2021-05-22,FAIR,True
107,7,40.0,Air Conditioning Unit #4,HVAC,2008-12-04,2012-06-15,FAIR,True
108,7,,Hedge Trimmer,GROUNDS_EQUIPMENT,2010-01-07,2014-01-20,GOOD,True
109,7,41.0,Air Conditioning Unit,HVAC,2017-11-16,2019-10-17,POOR,True
110,7,41.0,Band Saw #2,MACHINERY,2009-11-30,2014-01-22,POOR,True
111,7,,Gym Roof #3,ROOFING,2008-07-17,2013-03-05,POOR,True
112,7,40.0,Band Saw #4,MACHINERY,2017-05-29,2021-09-13,FAIR,True
113,7,,Adventure Playground,PLAYGROUND,2005-11-17,2009-10-27,POOR,True
114,7,,Perimeter Fence - South,FENCING,2010-06-27,2014-10-20,FAIR,True
115,8,48.0,Heat Pump Unit,HVAC,2014-11-02,2017-05-08,FAIR,True
116,8,50.0,Heat Pump Unit #2,HVAC,2006-03-07,2010-07-22,GOOD,True
117,8,,Gym Roof,ROOFING,2016-04-18,2017-09-24,FAIR,True
118,8,,Bus Bay #1,CAR_PARK,2014-04-25,2016-04-03,POOR,True
119,8,46.0,Air Conditioning Unit #4,HVAC,2010-08-14,2014-06-10,GOOD,True
120,8,43.0,Ventilation System #3,HVAC,2017-10-16,2021-01-31,GOOD,True
121,8,,Perimeter Fence - North #2,FENCING,2013-07-09,2017-03-25,FAIR,True
122,8,49.0,3D Printer #3,MACHINERY,2009-03-03,2011-10-03,GOOD,True
123,8,44.0,Solar Panel Array,ELECTRICAL,2010-07-12,2011-07-26,FAIR,True
124,8,,Utility Vehicle,VEHICLE,2010-07-30,2014-03-05,GOOD,True
125,8,48.0,Band Saw,MACHINERY,2017-11-30,2021-02-19,GOOD,True
126,8,,Netball Courts #1,SPORTS_EQUIPMENT,2005-05-31,2006-11-30,FAIR,True
127,8,,Secondary Bus Stop #1,BUS_STOP,2022-09-06,2024-12-13,POOR,True
128,8,,Leaf Blower #3,GROUNDS_EQUIPMENT,2022-06-04,2023-01-01,POOR,True
129,8,43.0,Heat Pump Unit,HVAC,2011-04-28,2015-07-02,GOOD,True
130,8,,Bus Bay #3,CAR_PARK,2005-04-17,2010-02-24,POOR,True
131,8,,Perimeter Fence - North #4,FENCING,2008-07-12,2009-10-22,FAIR,True
132,8,,Kiss and Ride Zone #2,BUS_STOP,2013-10-20,2017-07-12,FAIR,True
133,9,53.0,Emergency Lighting #4,ELECTRICAL,2010-02-06,2010-10-13,GOOD,True
134,9,55.0,Solar Panel Array #4,ELECTRICAL,2012-06-18,2015-05-09,GOOD,True
135,9,,Drop-off Zone,CAR_PARK,2020-03-04,2024-06-10,FAIR,True
136,9,56.0,3D Printer #1,MACHINERY,2014-02-02,2016-05-16,GOOD,True
137,9,58.0,Solar Panel Array #2,ELECTRICAL,2018-09-11,2020-04-30,FAIR,True
138,9,,Staff Car Park #1,CAR_PARK,2017-04-29,2020-12-06,GOOD,True
139,9,58.0,Emergency Lighting #2,ELECTRICAL,2009-02-09,2010-08-08,FAIR,True
140,9,51.0,CNC Router #4,MACHINERY,2021-11-07,2024-08-06,GOOD,True
141,9,,Staff Car Park,CAR_PARK,2007-07-07,2011-12-25,GOOD,True
142,9,,Bus Bay #4,CAR_PARK,2010-11-08,2012-03-13,GOOD,True
143,9,,Line Marker #4,GROUNDS_EQUIPMENT,2006-03-30,2008-06-14,POOR,True
144,9,,Kiss and Ride Zone #4,BUS_STOP,2014-01-23,2017-02-12,FAIR,True
145,10,61.0,Central Heating System,HVAC,2005-12-03,2009-11-26,GOOD,True
146,10,60.0,CNC Router,MACHINERY,2009-07-20,2010-10-01,FAIR,True
147,10,59.0,Central Heating System #3,HVAC,2020-02-22,2024-10-19,FAIR,True
148,10,60.0,Boiler,HVAC,2012-11-21,2014-02-08,GOOD,True
149,10,59.0,Heat Pump Unit #1,HVAC,2022-09-29,2025-04-13,FAIR,True
150,10,,Visitor Car Park,CAR_PARK,2011-05-04,2015-02-15,POOR,True
151,10,,Utility Vehicle,VEHICLE,2009-07-02,2012-03-14,GOOD,True
152,10,,Line Marker,GROUNDS_EQUIPMENT,2005-03-03,2006-06-28,GOOD,True
153,10,,Perimeter Fence - North,FENCING,2016-12-20,2018-11-10,GOOD,True
154,10,60.0,Air Conditioning Unit,HVAC,2013-07-20,2015-04-09,FAIR,True
155,11,,Swimming Pool #1,SPORTS_EQUIPMENT,2005-06-11,2006-08-05,GOOD,True
156,11,,Visitor Car Park,CAR_PARK,2021-01-07,2022-04-28,FAIR,True
157,11,64.0,Main Switchboard #4,ELECTRICAL,2017-09-25,2018-02-03,FAIR,True
158,11,65.0,Central Heating System #3,HVAC,2017-05-16,2021-10-11,GOOD,True
159,11,,Secondary Bus Stop,BUS_STOP,2019-04-04,2019-09-14,POOR,True
160,11,65.0,Boiler #2,HVAC,2015-05-06,2017-02-07,GOOD,True
161,11,,Gym Roof #1,ROOFING,2021-09-19,2024-07-25,POOR,True
162,11,,Junior Playground,PLAYGROUND,2013-04-26,2015-12-22,POOR,True
163,11,62.0,Heat Pump Unit,HVAC,2009-05-03,2011-10-24,FAIR,True
164,12,,Junior Playground,PLAYGROUND,2018-07-17,2019-06-28,FAIR,True
165,12,68.0,Band Saw #1,MACHINERY,2014-04-23,2015-11-29,GOOD,True
166,12,,Basketball Hoops #3,SPORTS_EQUIPMENT,2014-11-18,2019-02-14,GOOD,True
167,12,,Staff Car Park,CAR_PARK,2022-01-22,2025-04-17,FAIR,True
168,12,69.0,Boiler #4,HVAC,2011-05-01,2014-01-19,FAIR,True
169,12,,Basketball Hoops #1,SPORTS_EQUIPMENT,2019-08-31,2023-05-25,GOOD,True
170,12,,Gym Roof,ROOFING,2016-01-20,2016-10-26,GOOD,True
171,12,71.0,Table Saw #3,MACHINERY,2022-07-29,2023-02-01,GOOD,True
172,12,66.0,Air Conditioning Unit,HVAC,2013-05-07,2013-10-02,FAIR,True
173,12,,Hedge Trimmer,GROUNDS_EQUIPMENT,2019-10-31,2023-02-15,FAIR,True
174,12,,Flying Fox,PLAYGROUND,2022-06-26,2024-04-09,POOR,True
175,12,,Main Block Roof,ROOFING,2016-01-06,2019-07-10,FAIR,True
176,12,,Tennis Court #3,SPORTS_EQUIPMENT,2018-07-20,2021-04-17,GOOD,True
177,12,67.0,Emergency Lighting #3,ELECTRICAL,2017-11-13,2022-06-24,GOOD,True
178,12,,Perimeter Fence - North,FENCING,2007-06-22,2009-08-25,FAIR,True
179,12,69.0,Generator #4,ELECTRICAL,2011-01-08,2012-10-10,POOR,True
180,12,,Pool Fence #1,FENCING,2011-03-01,2013-06-02,GOOD,True
181,12,66.0,Emergency Lighting #4,ELECTRICAL,2021-10-21,2023-12-18,POOR,True
182,12,,Kiss and Ride Zone,BUS_STOP,2005-11-14,2009-09-19,GOOD,True
183,13,81.0,Solar Panel Array,ELECTRICAL,2011-11-08,2016-05-11,POOR,True
184,13,,Secondary Bus Stop #1,BUS_STOP,2005-02-06,2007-06-15,POOR,True
185,13,,Bus Bay #2,CAR_PARK,2014-06-28,2017-09-27,FAIR,True
186,13,,Main Block Roof #4,ROOFING,2014-07-19,2017-11-29,FAIR,True
187,13,81.0,Central Heating System,HVAC,2010-12-29,2014-12-28,GOOD,True
188,13,75.0,Boiler,HVAC,2013-07-15,2013-12-13,FAIR,True
189,13,,Basketball Hoops #4,SPORTS_EQUIPMENT,2015-01-19,2017-11-23,POOR,True
190,13,76.0,Emergency Lighting,ELECTRICAL,2022-03-27,2024-05-22,GOOD,True
191,13,77.0,Heat Pump Unit #2,HVAC,2015-12-25,2016-04-02,GOOD,True
192,13,,Hall Roof,ROOFING,2013-02-15,2013-09-23,FAIR,True
193,13,,Sports Field Fence,FENCING,2013-05-29,2016-12-04,GOOD,True
194,13,,Adventure Playground #3,PLAYGROUND,2009-06-15,2012-10-26,FAIR,True
195,13,,Netball Courts #2,SPORTS_EQUIPMENT,2006-04-26,2009-01-13,POOR,True
196,13,81.0,Generator #2,ELECTRICAL,2021-09-29,2024-11-23,GOOD,True
197,13,,Main Block Roof #1,ROOFING,2009-06-16,2014-04-05,GOOD,True
198,13,80.0,Emergency Lighting,ELECTRICAL,2011-01-01,2015-12-03,FAIR,True
199,13,81.0,Air Conditioning Unit #4,HVAC,2006-01-15,2009-02-10,FAIR,True
200,13,,Ride-on Mower #3,VEHICLE,2016-07-11,2017-07-06,CRITICAL,True
201,13,82.0,Drill Press #2,MACHINERY,2014-08-25,2016-06-10,GOOD,True
202,13,79.0,Ventilation System #3,HVAC,2007-04-05,2009-07-06,POOR,True
203,13,75.0,Workshop Lathe #2,MACHINERY,2009-12-11,2011-06-22,GOOD,True
204,14,,Long Jump Pit #4,SPORTS_EQUIPMENT,2011-11-26,2012-03-31,GOOD,True
205,14,,Long Jump Pit,SPORTS_EQUIPMENT,2005-11-13,2007-03-08,FAIR,True
206,14,,Kiss and Ride Zone,BUS_STOP,2021-11-22,2023-08-20,FAIR,True
207,14,,Utility Vehicle,VEHICLE,2019-02-24,2022-07-10,GOOD,True
208,14,88.0,Solar Panel Array,ELECTRICAL,2006-06-13,2010-11-24,FAIR,True
209,14,,Library Roof #1,ROOFING,2019-01-09,2021-10-12,GOOD,True
210,14,,Pressure Washer,GROUNDS_EQUIPMENT,2020-12-29,2023-08-16,POOR,True
211,14,88.0,Solar Panel Array,ELECTRICAL,2021-09-08,2023-08-08,POOR,True
212,14,,Library Roof,ROOFING,2006-11-27,2011-03-25,GOOD,True
213,14,83.0,CNC Router,MACHINERY,2017-09-12,2018-06-25,FAIR,True
214,14,,Climbing Frame #3,PLAYGROUND,2011-07-31,2014-02-10,POOR,True
215,14,,School Van,VEHICLE,2021-07-30,2022-07-03,GOOD,True
216,15,,Bus Bay #4,CAR_PARK,2021-01-09,2025-04-19,FAIR,True
217,15,,Long Jump Pit,SPORTS_EQUIPMENT,2021-04-20,2024-12-25,FAIR,True
218,15,91.0,Solar Panel Array #4,ELECTRICAL,2018-12-17,2020-02-22,POOR,True
219,15,,Adventure Playground #1,PLAYGROUND,2006-04-29,2009-01-17,CRITICAL,False
220,15,95.0,Heat Pump Unit,HVAC,2006-04-27,2009-11-27,GOOD,True
221,15,,Swing Set #4,PLAYGROUND,2018-12-18,2019-04-27,GOOD,True
222,15,,School Bus,VEHICLE,2015-08-05,2016-01-27,CRITICAL,False
223,15,97.0,Air Conditioning Unit,HVAC,2011-05-10,2014-09-13,CRITICAL,False
224,15,,Kiss and Ride Zone #1,BUS_STOP,2010-11-11,2012-03-09,GOOD,True
225,15,,Junior Playground #3,PLAYGROUND,2011-03-23,2012-04-08,FAIR,True
226,15,,Swimming Pool #4,SPORTS_EQUIPMENT,2005-04-18,2010-03-08,POOR,True
227,15,,School Van,VEHICLE,2014-11-15,2018-02-06,FAIR,True
228,15,96.0,3D Printer,MACHINERY,2016-10-23,2017-08-12,FAIR,True
229,15,,Sports Field Fence #3,FENCING,2015-09-09,2018-02-11,POOR,True
230,15,92.0,Boiler,HVAC,2018-04-29,2019-08-21,GOOD,True
231,15,,Netball Courts #1,SPORTS_EQUIPMENT,2005-06-15,2007-04-28,FAIR,True
232,15,,Leaf Blower,GROUNDS_EQUIPMENT,2007-10-08,2008-09-17,GOOD,True
233,15,,Staff Car Park,CAR_PARK,2005-07-07,2007-06-29,GOOD,True
234,15,,Bus Bay #2,CAR_PARK,2012-12-23,2017-04-13,GOOD,True
235,15,,Kiss and Ride Zone,BUS_STOP,2007-11-17,2011-12-24,POOR,True
236,15,,Pressure Washer,GROUNDS_EQUIPMENT,2005-02-18,2006-03-04,GOOD,True
237,15,,Sports Field Fence,FENCING,2009-06-14,2014-02-04,GOOD,True
238,15,,Long Jump Pit #3,SPORTS_EQUIPMENT,2022-07-09,2024-09-24,FAIR,True
239,15,,Secondary Bus Stop,BUS_STOP,2019-02-17,2021-08-07,POOR,True
240,15,,Leaf Blower #1,GROUNDS_EQUIPMENT,2012-11-26,2015-08-17,GOOD,True
241,15,93.0,Boiler #3,HVAC,2021-05-28,2023-05-29,GOOD,True
242,15,96.0,Generator,ELECTRICAL,2014-09-23,2019-08-18,GOOD,True
243,16,,Utility Vehicle #3,VEHICLE,2010-05-26,2011-02-09,FAIR,True
244,16,,Kiss and Ride Zone,BUS_STOP,2012-03-06,2014-05-09,GOOD,True
245,16,,Kiss and Ride Zone,BUS_STOP,2019-03-06,2019-06-29,GOOD,True
246,16,,Gym Roof,ROOFING,2016-09-28,2017-05-26,FAIR,True
247,16,99.0,Heat Pump Unit,HVAC,2013-05-05,2014-04-05,GOOD,True
248,16,,School Van,VEHICLE,2018-06-23,2023-04-29,POOR,True
249,16,101.0,Ventilation System #2,HVAC,2007-11-27,2011-12-27,GOOD,True
250,16,,Kiss and Ride Zone,BUS_STOP,2010-08-31,2012-12-21,GOOD,True
251,16,100.0,EV Charger,ELECTRICAL,2016-09-18,2018-03-07,GOOD,True
252,16,,Long Jump Pit #3,SPORTS_EQUIPMENT,2017-05-30,2020-12-25,POOR,True
253,16,,Senior Playground,PLAYGROUND,2010-10-23,2014-08-29,FAIR,True
254,16,,Secondary Bus Stop,BUS_STOP,2012-09-27,2016-06-07,POOR,True
255,16,100.0,Drill Press,MACHINERY,2008-08-22,2010-02-26,FAIR,True
256,16,105.0,CNC Router #1,MACHINERY,2009-01-28,2012-07-16,GOOD,True
257,16,,Gym Roof #4,ROOFING,2017-02-09,2019-02-11,GOOD,True
258,16,,Long Jump Pit,SPORTS_EQUIPMENT,2012-12-10,2013-06-25,GOOD,True
259,16,,Cricket Nets,SPORTS_EQUIPMENT,2010-12-11,2012-09-23,GOOD,True
260,16,101.0,Boiler,HVAC,2015-11-05,2016-12-25,GOOD,True
261,16,,Drop-off Zone #1,CAR_PARK,2010-06-15,2013-09-13,GOOD,True
262,16,105.0,Air Conditioning Unit #3,HVAC,2018-07-22,2020-07-05,GOOD,True
263,17,,Long Jump Pit,SPORTS_EQUIPMENT,2012-05-24,2013-09-05,POOR,True
264,17,112.0,Generator,ELECTRICAL,2006-09-11,2007-04-11,GOOD,True
265,17,116.0,Drill Press,MACHINERY,2020-11-02,2023-01-10,FAIR,True
266,17,,Climbing Frame #3,PLAYGROUND,2011-01-28,2011-09-28,GOOD,True
267,17,115.0,EV Charger #4,ELECTRICAL,2014-12-24,2016-04-03,POOR,True
268,17,,Swing Set #4,PLAYGROUND,2017-10-13,2018-05-15,POOR,True
269,17,107.0,Generator #2,ELECTRICAL,2014-12-24,2016-07-13,FAIR,True
270,17,,Lawn Mower #4,GROUNDS_EQUIPMENT,2012-01-15,2014-06-06,CRITICAL,True
271,17,,School Van,VEHICLE,2016-08-11,2019-04-22,GOOD,True
272,17,,Basketball Hoops,SPORTS_EQUIPMENT,2010-12-16,2012-04-20,FAIR,True
273,17,,Perimeter Fence - South,FENCING,2013-09-24,2015-05-26,POOR,True
274,17,,Senior Playground,PLAYGROUND,2007-11-14,2008-12-30,GOOD,True
275,17,112.0,Workshop Lathe #4,MACHINERY,2012-10-10,2016-08-17,FAIR,True
276,17,114.0,EV Charger,ELECTRICAL,2005-08-10,2007-12-20,FAIR,True
277,17,,Line Marker,GROUNDS_EQUIPMENT,2015-07-23,2016-02-17,GOOD,True
278,17,,Cricket Nets,SPORTS_EQUIPMENT,2020-02-01,2024-04-14,FAIR,True
279,17,,Visitor Car Park,CAR_PARK,2007-07-23,2012-06-20,FAIR,True
280,17,,Pressure Washer,GROUNDS_EQUIPMENT,2010-10-02,2015-01-10,FAIR,True
281,17,107.0,Main Switchboard,ELECTRICAL,2013-01-14,2013-12-26,GOOD,True
282,17,,Perimeter Fence - South,FENCING,2007-01-20,2008-01-21,GOOD,True
283,18,117.0,Heat Pump Unit #1,HVAC,2016-03-31,2018-08-02,FAIR,True
284,18,,Hall Roof #1,ROOFING,2022-08-23,2024-02-28,POOR,True
285,18,117.0,EV Charger,ELECTRICAL,2013-09-21,2015-09-10,POOR,True
286,18,118.0,Table Saw #4,MACHINERY,2022-02-01,2024-07-11,FAIR,True
287,18,118.0,Ventilation System,HVAC,2005-02-12,2008-03-19,POOR,True
288,18,119.0,Table Saw,MACHINERY,2020-03-06,2024-06-18,CRITICAL,False
289,18,,Library Roof,ROOFING,2010-01-05,2013-04-07,GOOD,True
290,18,119.0,Solar Panel Array #4,ELECTRICAL,2016-11-08,2020-11-18,FAIR,True
291,18,,Ride-on Mower #1,VEHICLE,2021-11-25,2025-01-14,FAIR,True
292,18,,Tennis Court #1,SPORTS_EQUIPMENT,2018-12-08,2023-09-19,GOOD,True
293,18,119.0,CNC Router #1,MACHINERY,2009-06-27,2013-04-29,GOOD,True
294,19,,Cricket Nets #3,SPORTS_EQUIPMENT,2009-02-04,2012-09-23,GOOD,True
295,19,120.0,Air Conditioning Unit #3,HVAC,2020-05-15,2023-08-16,GOOD,True
296,19,,Kiss and Ride Zone #2,BUS_STOP,2020-06-29,2023-08-23,GOOD,True
297,19,123.0,Central Heating System #1,HVAC,2016-06-09,2019-05-10,GOOD,True
298,19,,Tennis Court,SPORTS_EQUIPMENT,2020-01-30,2024-09-07,GOOD,True
299,19,121.0,CNC Router,MACHINERY,2022-03-20,2024-12-23,FAIR,True
300,19,,Chainsaw #1,GROUNDS_EQUIPMENT,2022-07-18,2023-10-18,CRITICAL,False
301,19,,Netball Courts #1,SPORTS_EQUIPMENT,2016-09-10,2019-04-22,GOOD,True
302,19,,Tennis Court #4,SPORTS_EQUIPMENT,2022-06-20,2024-11-24,POOR,True
303,19,,Perimeter Fence - South #3,FENCING,2010-09-08,2011-08-09,POOR,True
304,19,,School Van #4,VEHICLE,2013-06-26,2016-08-29,FAIR,True
305,19,,Swing Set,PLAYGROUND,2014-03-01,2018-09-10,FAIR,True
306,19,,Swing Set,PLAYGROUND,2021-02-13,2022-10-30,GOOD,True
307,19,,Utility Vehicle,VEHICLE,2019-06-05,2022-09-03,GOOD,True
308,19,,Ride-on Mower #1,VEHICLE,2007-12-19,2009-08-24,FAIR,True
309,19,,Hedge Trimmer #1,GROUNDS_EQUIPMENT,2015-05-24,2015-11-05,CRITICAL,False
310,19,122.0,CNC Router #4,MACHINERY,2006-08-21,2009-11-11,GOOD,True
311,20,130.0,Central Heating System,HVAC,2018-12-22,2021-12-28,FAIR,True
312,20,,Leaf Blower,GROUNDS_EQUIPMENT,2011-04-01,2015-04-28,POOR,True
313,20,129.0,EV Charger #2,ELECTRICAL,2012-03-22,2016-08-24,FAIR,True
