contractor_id,company_name,service_type,region,certification_expiry,is_active,safety_rating
40,Horizon Cleaning Technical Services,CLEANING,Tasman Region,2024-10-30,True,B
41,Precision Building Enterprises,BUILDING_MAINTENANCE,Otago Region,2025-10-02,True,C
42,Coastal Hvac Group,HVAC,Canterbury Region,2025-04-04,True,A
43,Southern It Group,IT_SERVICES,West Coast Region,2025-07-21,True,B
44,Horizon Hvac Holdings,HVAC,Auckland Region,2024-05-07,True,B
45,Pacific It Solutions NZ,IT_SERVICES,Gisborne Region,2025-07-07,True,C
46,Pacific Electrical Holdings,ELECTRICAL,Otago Region,2025-06-28,True,B
47,Sterling Plumbing Contractors,PLUMBING,Tasman Region,2024-08-01,True,C
48,Reliable Grounds Property Services,GROUNDS,Northland Region,2025-12-20,True,D
49,Elite It Maintenance Co,IT_SERVICES,Manawatū-Whanganui Region,2024-06-16,True,A
50,Apex Hvac Technical Services,HVAC,Hawke's Bay Region,2025-12-29,True,C
51,Southern Painting Enterprises,PAINTING,Manawatū-Whanganui Region,2025-12-24,True,B
52,Pacific It Services Ltd,IT_SERVICES,Wellington Region,2025-08-07,True,C
53,Coastal Painting Services Ltd,PAINTING,Tasman Region,2025-10-20,True,A
54,Coastal Building Technical Services,BUILDING_MAINTENANCE,Otago Region,2024-07-03,True,B
55,Elite Roofing Works,ROOFING,Gisborne Region,2025-05-02,True,A
56,Apex Electrical Services Ltd,ELECTRICAL,Northland Region,2025-08-10,True,A
57,Apex It Property Services,IT_SERVICES,Manawatū-Whanganui Region,2025-08-02,True,B
58,Sterling Grounds Holdings,GROUNDS,Bay of Plenty Region,2024-10-26,True,B
59,Horizon Painting Maintenance Co,PAINTING,Tasman Region,2024-12-18,True,D
60,Kiwi Electrical Property Services,ELECTRICAL,Hawke's Bay Region,2024-07-12,True,A
61,Precision Electrical Maintenance Co,ELECTRICAL,Auckland Region,2024-05-25,False,B
62,Southern Painting Group,PAINTING,Taranaki Region,2024-01-10,True,B
63,Elite Grounds Maintenance Co,GROUNDS,Hawke's Bay Region,2024-03-19,True,B
64,Horizon Hvac Works,HVAC,Manawatū-Whanganui Region,2025-12-20,True,A
65,Apex Security Holdings,SECURITY,Taranaki Region,2025-05-03,True,B
66,Reliable Security Technical Services,SECURITY,Hawke's Bay Region,2024-10-18,True,A
67,Elite Painting Solutions NZ,PAINTING,Hawke's Bay Region,2024-03-24,True,B
68,Reliable Electrical Maintenance Co,ELECTRICAL,Northland Region,2024-04-14,True,A
69,Kiwi Cleaning Contractors,CLEANING,Nelson Region,2024-04-19,True,D
70,Coastal Grounds Maintenance Co,GROUNDS,West Coast Region,2024-07-06,True,A
71,Precision Painting Group,PAINTING,Auckland Region,2025-12-14,False,C
72,Regional It Holdings,IT_SERVICES,Marlborough Region,2024-04-11,False,A
73,Summit Plumbing Solutions NZ,PLUMBING,West Coast Region,2024-11-03,False,B
74,Coastal Electrical Solutions NZ,ELECTRICAL,Otago Region,2024-12-16,True,A
75,Summit Security Enterprises,SECURITY,Bay of Plenty Region,2025-04-01,True,B
76,Precision Building Group,BUILDING_MAINTENANCE,Otago Region,2025-03-23,True,B
77,Sterling It Holdings,IT_SERVICES,Manawatū-Whanganui Region,2025-05-21,True,B
78,Pacific Electrical Services Ltd,ELECTRICAL,Wellington Region,2025-10-03,True,A
79,Peninsula Plumbing Technical Services,PLUMBING,Tasman Region,2024-05-14,True,B
80,Reliable Building Maintenance Co,BUILDING_MAINTENANCE,Taranaki Region,2025-03-25,True,C
81,Premier Roofing Group,ROOFING,Manawatū-Whanganui Region,2025-07-20,True,A
82,Southern Painting Maintenance Co,PAINTING,Wellington Region,2024-03-08,True,A
83,Kiwi Painting Holdings,PAINTING,Auckland Region,2025-07-21,False,A
84,Regional Electrical Enterprises,ELECTRICAL,Nelson Region,2025-09-13,True,B
85,Apex Electrical Property Services,ELECTRICAL,Southland Region,2024-06-22,True,C
86,Horizon Electrical Holdings,ELECTRICAL,Southland Region,2024-07-14,True,C
87,Metro Security Enterprises,SECURITY,Northland Region,2025-06-25,True,C
88,Kiwi Plumbing Enterprises,PLUMBING,Gisborne Region,2024-01-16,True,B
89,Southern It Services Ltd,IT_SERVICES,Nelson Region,2024-05-01,True,B
90,Metro Roofing Technical Services,ROOFING,Southland Region,2025-10-14,True,A
91,Pinnacle Building Enterprises,BUILDING_MAINTENANCE,Northland Region,2024-09-22,True,B
92,Pacific Hvac Works,HVAC,Manawatū-Whanganui Region,2025-10-08,True,A
93,Pinnacle Grounds Technical Services,GROUNDS,West Coast Region,2024-04-24,True,A
94,Kiwi Building Property Services,BUILDING_MAINTENANCE,Hawke's Bay Region,2024-05-19,True,A
95,Peninsula Painting Enterprises,PAINTING,Northland Region,2024-06-16,True,C
96,Reliable It Maintenance Co,IT_SERVICES,West Coast Region,2025-11-02,True,C
97,Apex It Holdings,IT_SERVICES,Marlborough Region,2025-03-25,True,C
98,Metro Hvac Maintenance Co,HVAC,West Coast Region,2024-09-10,True,C
99,Aotearoa Plumbing Holdings,PLUMBING,Waikato Region,2024-06-15,True,B
100,Pinnacle Cleaning Services Ltd,CLEANING,Auckland Region,2024-06-15,True,B
101,Southern Security Holdings,SECURITY,Gisborne Region,2025-05-03,True,B
102,Premier Security Solutions NZ,SECURITY,Auckland Region,2025-03-09,True,B
103,Reliable Grounds Technical Services,GROUNDS,Waikato Region,2025-07-20,True,C
104,Regional Grounds Services Ltd,GROUNDS,Tasman Region,2024-06-07,False,B
105,Reliable Hvac Maintenance Co,HVAC,Canterbury Region,2025-06-07,True,C
106,Summit It Works,IT_SERVICES,West Coast Region,2025-08-04,True,B
107,Sterling Building Property Services,BUILDING_MAINTENANCE,Canterbury Region,2025-03-26,True,C
108,Horizon It Technical Services,IT_SERVICES,West Coast Region,2025-01-15,True,A
109,Pinnacle Roofing Technical Services,ROOFING,Nelson Region,2025-03-09,True,C
110,Reliable Roofing Services Ltd,ROOFING,West Coast Region,2024-03-12,False,B
111,Horizon Building Property Services,BUILDING_MAINTENANCE,Nelson Region,2025-02-06,True,B
112,Kiwi Cleaning Group,CLEANING,Bay of Plenty Region,2024-10-20,True,C
113,Premier Building Services Ltd,BUILDING_MAINTENANCE,Nelson Region,2024-09-07,True,A
114,Precision Hvac Property Services,HVAC,Canterbury Region,2024-02-16,True,C
115,Sterling Building Works,BUILDING_MAINTENANCE,Otago Region,2025-04-07,True,B
116,Precision Cleaning Solutions NZ,CLEANING,Marlborough Region,2025-09-23,True,C
117,Aotearoa Cleaning Property Services,CLEANING,Wellington Region,2024-11-30,True,D
118,Coastal Cleaning Technical Services,CLEANING,Auckland Region,2024-05-23,True,B
119,Elite Building Property Services,BUILDING_MAINTENANCE,Southland Region,2024-02-04,True,B
120,Regional Security Maintenance Co,SECURITY,Manawatū-Whanganui Region,2024-03-06,False,A
121,Regional Grounds Maintenance Co,GROUNDS,Otago Region,2024-10-04,True,A
122,Southern Electrical Group,ELECTRICAL,Manawatū-Whanganui Region,2024-03-31,True,C
123,Peninsula Security Services Ltd,SECURITY,Manawatū-Whanganui Region,2025-06-02,True,A
124,Kiwi Hvac Group,HVAC,Gisborne Region,2024-07-05,True,A
125,Aotearoa Building Works,BUILDING_MAINTENANCE,Nelson Region,2024-03-24,True,B
126,Kiwi It Works,IT_SERVICES,Waikato Region,2025-09-01,True,C
127,Pacific Building Group,BUILDING_MAINTENANCE,Wellington Region,2024-09-21,True,A
128,Alpine Electrical Contractors,ELECTRICAL,Bay of Plenty Region,2024-12-05,False,A
129,Regional Electrical Services Ltd,ELECTRICAL,Marlborough Region,2024-03-20,True,A
130,Metro Hvac Group,HVAC,Tasman Region,2025-05-30,True,B
131,Pinnacle It Works,IT_SERVICES,Bay of Plenty Region,2025-07-27,True,C
132,Elite Grounds Contractors,GROUNDS,West Coast Region,2025-10-29,True,C
133,Southern Cleaning Maintenance Co,CLEANING,West Coast Region,2025-05-02,False,C
134,Regional Hvac Contractors,HVAC,Southland Region,2025-04-02,True,B
135,Pinnacle Roofing Property Services,ROOFING,Canterbury Region,2025-02-23,True,A
136,Aotearoa Security Services Ltd,SECURITY,Canterbury Region,2024-11-22,True,D
137,Aotearoa Cleaning Solutions NZ,CLEANING,Northland Region,2024-03-03,False,C
138,Summit Hvac Technical Services,HVAC,Canterbury Region,2024-08-13,True,B
139,Pinnacle Plumbing Contractors,PLUMBING,Southland Region,2024-12-29,False,B
140,Pinnacle Grounds Services Ltd,GROUNDS,Waikato Region,2025-06-11,True,A
141,Pacific Grounds Property Services,GROUNDS,Nelson Region,2025-04-19,True,B
142,Aotearoa Cleaning Group,CLEANING,Tasman Region,2025-06-24,True,B
143,Horizon Grounds Group,GROUNDS,Northland Region,2025-10-05,True,C
144,Alpine Roofing Holdings,ROOFING,Nelson Region,2025-06-16,True,A
145,Summit Grounds Holdings,GROUNDS,Bay of Plenty Region,2025-02-04,True,C
146,Summit Security Works,SECURITY,Tasman Region,2024-02-13,True,B
147,Precision Electrical Solutions NZ,ELECTRICAL,Taranaki Region,2024-09-20,True,B
148,Sterling Painting Maintenance Co,PAINTING,Gisborne Region,2024-02-23,True,C
149,Pinnacle Electrical Solutions NZ,ELECTRICAL,Bay of Plenty Region,2024-09-03,True,B
150,Horizon Security Solutions NZ,SECURITY,Waikato Region,2024-02-11,False,D
