hazard_id,site_id,building_id,asset_id,hazard_type,hazard_category,description,location_description,risk_level,status,identified_date,identified_by_assessment_id,identified_by_inspection_id,control_measures
49,2,,22.0,STRUCTURAL,SLIP_TRIP_FALL,Algae growth on pathway near the northern boundary making surface slippery in wet conditions,School grounds,MEDIUM,MONITORING,2020-08-10,,10.0,Controls applied as per action plan
50,2,5.0,,PHYSICAL,SLIP_TRIP_FALL,Algae growth on pathway near Administration Building making surface slippery in wet conditions,Administration Building,MEDIUM,CONTROLLED,2020-08-10,,10.0,Controls applied as per action plan
51,2,,18.0,ELECTRICAL,ELECTRICAL,Overhead power lines within reach of tree growth,School grounds,MEDIUM,MONITORING,2020-11-07,,11.0,Controls applied as per action plan
52,2,7.0,,ENVIRONMENTAL,SLIP_TRIP_FALL,Algae growth on pathway near Changing Rooms making surface slippery in wet conditions,Changing Rooms,HIGH,CONTROLLED,2020-03-25,,12.0,Controls applied as per action plan
53,2,4.0,,ELECTRICAL,FALLING_OBJECTS,Deteriorating fascia boards above Junior Block walkway,Junior Block,MEDIUM,CONTROLLED,2021-08-08,,13.0,Controls applied as per action plan
54,2,8.0,,ERGONOMIC,ASBESTOS,Suspected ACM in ceiling tiles of Sports Hall (pre-1990 construction),Sports Hall,CRITICAL,MONITORING,2021-08-08,,13.0,Controls applied as per action plan
55,2,,,ENVIRONMENTAL,FALLING_OBJECTS,Loose guttering on near the car park at risk of falling in high winds,School grounds,LOW,ELIMINATED,2022-11-21,,14.0,Controls applied as per action plan
56,2,,,BIOLOGICAL,TRAFFIC,No speed limit signage in school grounds,School grounds,HIGH,CONTROLLED,2022-11-21,,14.0,Controls applied as per action plan
57,2,6.0,,STRUCTURAL,ELECTRICAL,Damaged power point cover in Staff Facilities,Staff Facilities,MEDIUM,MONITORING,2022-05-09,,15.0,Controls applied as per action plan
58,2,,,PHYSICAL,ASBESTOS,Asbestos register requires update for recent renovations,School grounds,CRITICAL,ELIMINATED,2023-04-24,,17.0,Controls applied as per action plan
59,2,5.0,,ENVIRONMENTAL,SLIP_TRIP_FALL,Algae growth on pathway near Administration Building making surface slippery in wet conditions,Administration Building,MEDIUM,MONITORING,2023-04-24,,17.0,Controls applied as per action plan
60,2,,,PHYSICAL,SLIP_TRIP_FALL,Uneven paving stones near the main entrance creating trip hazard,School grounds,HIGH,MONITORING,2023-04-24,,17.0,Controls applied as per action plan
61,2,5.0,,ENVIRONMENTAL,ELECTRICAL,Worn cable on portable equipment in Administration Building,Administration Building,MEDIUM,OPEN,2023-05-03,,18.0,
62,2,6.0,,ERGONOMIC,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,Staff Facilities,MEDIUM,OPEN,2023-05-03,,18.0,
63,2,,,PHYSICAL,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,School grounds,HIGH,MONITORING,2023-06-02,,19.0,Controls applied as per action plan
64,2,,,PHYSICAL,WEATHER,Ponding water near adjacent to the playground after rainfall,School grounds,CRITICAL,CONTROLLED,2023-06-02,,19.0,Controls applied as per action plan
65,2,,,CHEMICAL,SLIP_TRIP_FALL,Algae growth on pathway near adjacent to the playground making surface slippery in wet conditions,School grounds,MEDIUM,CONTROLLED,2023-06-02,,19.0,Controls applied as per action plan
66,2,,11.0,PHYSICAL,HEIGHTS,No edge protection on near the car park roof access,School grounds,HIGH,OPEN,2024-06-01,,20.0,
67,2,,29.0,ERGONOMIC,SLIP_TRIP_FALL,Worn carpet edge in near the car park creating trip point,School grounds,LOW,CONTROLLED,2024-06-01,,20.0,Controls applied as per action plan
68,2,7.0,,ENVIRONMENTAL,WATER,Stormwater drain cover missing near playground,Changing Rooms,LOW,OPEN,2024-06-01,,20.0,
69,2,,29.0,PHYSICAL,TRAFFIC,Poor visibility at car park exit due to vegetation,School grounds,CRITICAL,CONTROLLED,2024-04-08,,21.0,Controls applied as per action plan
70,2,,,ERGONOMIC,HEIGHTS,Inadequate ladder storage and inspection regime,School grounds,HIGH,ELIMINATED,2024-04-08,,21.0,Controls applied as per action plan
71,2,,,ERGONOMIC,ASBESTOS,Damaged soffit near adjacent to the playground potentially containing asbestos,School grounds,LOW,MONITORING,2024-07-13,,22.0,Controls applied as per action plan
72,2,,,PHYSICAL,ASBESTOS,Damaged soffit near adjacent to the playground potentially containing asbestos,School grounds,CRITICAL,OPEN,2024-07-13,,22.0,
73,2,8.0,,ELECTRICAL,SLIP_TRIP_FALL,Algae growth on pathway near Sports Hall making surface slippery in wet conditions,Sports Hall,MEDIUM,ELIMINATED,2024-07-13,,22.0,Controls applied as per action plan
74,3,12.0,,ERGONOMIC,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,Senior Toilets,CRITICAL,OPEN,2020-03-23,23.0,,
75,3,10.0,,PHYSICAL,ELECTRICAL,Damaged power point cover in Senior Block,Senior Block,MEDIUM,CONTROLLED,2020-03-23,23.0,,Controls applied as per action plan
76,3,13.0,,CHEMICAL,PLAYGROUND,Rusted bolt on swing frame,Equipment Store,HIGH,ELIMINATED,2020-09-07,24.0,,Controls applied as per action plan
77,3,,35.0,STRUCTURAL,SLIP_TRIP_FALL,Algae growth on pathway near the main entrance making surface slippery in wet conditions,School grounds,CRITICAL,ELIMINATED,2020-09-07,24.0,,Controls applied as per action plan
78,3,,,PHYSICAL,WEATHER,Ponding water near near the car park after rainfall,School grounds,MEDIUM,OPEN,2020-09-07,24.0,,
79,3,,,ENVIRONMENTAL,TRAFFIC,No speed limit signage in school grounds,School grounds,HIGH,CONTROLLED,2020-09-07,24.0,,Controls applied as per action plan
80,3,,,ENVIRONMENTAL,TREES,Large tree root lifting pathway surface,School grounds,MEDIUM,CONTROLLED,2021-03-14,25.0,,Controls applied as per action plan
81,3,,,STRUCTURAL,SLIP_TRIP_FALL,Worn carpet edge in near the car park creating trip point,School grounds,MEDIUM,OPEN,2021-03-14,25.0,,
82,3,,35.0,ELECTRICAL,WEATHER,Wind exposure to portable buildings near the sports field perimeter,School grounds,HIGH,CONTROLLED,2021-03-14,25.0,,Controls applied as per action plan
83,3,,30.0,STRUCTURAL,SLIP_TRIP_FALL,Algae growth on pathway near near the car park making surface slippery in wet conditions,School grounds,MEDIUM,ELIMINATED,2021-03-14,25.0,,Controls applied as per action plan
84,3,10.0,,STRUCTURAL,SLIP_TRIP_FALL,Uneven paving stones near Senior Block creating trip hazard,Senior Block,HIGH,ELIMINATED,2021-09-26,26.0,,Controls applied as per action plan
85,3,,,STRUCTURAL,WEATHER,Ice formation on north-facing pathways in winter,School grounds,CRITICAL,ELIMINATED,2021-09-26,26.0,,Controls applied as per action plan
86,3,,,STRUCTURAL,SLIP_TRIP_FALL,Worn carpet edge in the northern boundary creating trip point,School grounds,CRITICAL,CONTROLLED,2021-09-26,26.0,,Controls applied as per action plan
87,3,,,PHYSICAL,WEATHER,Ice formation on north-facing pathways in winter,School grounds,MEDIUM,OPEN,2021-09-26,26.0,,
88,3,,,ERGONOMIC,SLIP_TRIP_FALL,Uneven paving stones near near the car park creating trip hazard,School grounds,MEDIUM,ELIMINATED,2023-03-03,29.0,,Controls applied as per action plan
89,3,13.0,,ENVIRONMENTAL,MACHINERY,Missing guard on equipment in Equipment Store,Equipment Store,MEDIUM,OPEN,2023-09-27,30.0,,
90,3,14.0,,PHYSICAL,SLIP_TRIP_FALL,Worn carpet edge in Performing Arts Centre creating trip point,Performing Arts Centre,LOW,MONITORING,2024-03-04,31.0,,Controls applied as per action plan
91,3,16.0,,STRUCTURAL,SLIP_TRIP_FALL,Worn carpet edge in School Library creating trip point,School Library,LOW,ELIMINATED,2024-03-04,31.0,,Controls applied as per action plan
92,3,,56.0,ENVIRONMENTAL,TREES,Large tree root lifting pathway surface,School grounds,LOW,CONTROLLED,2024-03-04,31.0,,Controls applied as per action plan
93,3,,,PHYSICAL,TREES,Large tree root lifting pathway surface,School grounds,MEDIUM,MONITORING,2024-09-24,32.0,,Controls applied as per action plan
94,3,13.0,,ERGONOMIC,ELECTRICAL,Damaged power point cover in Equipment Store,Equipment Store,HIGH,CONTROLLED,2025-03-21,33.0,,Controls applied as per action plan
95,3,,,STRUCTURAL,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,School grounds,MEDIUM,ELIMINATED,2025-03-21,33.0,,Controls applied as per action plan
96,3,,,PHYSICAL,MACHINERY,Missing guard on equipment in adjacent to the playground,School grounds,LOW,OPEN,2025-03-21,33.0,,
97,3,,,ELECTRICAL,WATER,Stormwater drain cover missing near playground,School grounds,LOW,MONITORING,2020-04-22,,24.0,Controls applied as per action plan
98,3,16.0,,ENVIRONMENTAL,SLIP_TRIP_FALL,Algae growth on pathway near School Library making surface slippery in wet conditions,School Library,HIGH,ELIMINATED,2021-11-01,,25.0,Controls applied as per action plan
99,3,,,ENVIRONMENTAL,SLIP_TRIP_FALL,Uneven paving stones near adjacent to the playground creating trip hazard,School grounds,LOW,ELIMINATED,2021-04-07,,26.0,Controls applied as per action plan
100,3,,,STRUCTURAL,FALLING_OBJECTS,Loose guttering on the main entrance at risk of falling in high winds,School grounds,MEDIUM,MONITORING,2021-04-07,,26.0,Controls applied as per action plan
101,3,16.0,,STRUCTURAL,WATER,Stormwater drain cover missing near playground,School Library,MEDIUM,CONTROLLED,2021-04-07,,26.0,Controls applied as per action plan
102,3,,,STRUCTURAL,PLAYGROUND,Rusted bolt on swing frame,School grounds,MEDIUM,ELIMINATED,2021-02-05,,27.0,Controls applied as per action plan
103,3,,39.0,PHYSICAL,MACHINERY,Missing guard on equipment in near the car park,School grounds,MEDIUM,ELIMINATED,2021-02-05,,27.0,Controls applied as per action plan
104,3,10.0,,ERGONOMIC,MACHINERY,Missing guard on equipment in Senior Block,Senior Block,MEDIUM,ELIMINATED,2022-04-16,,28.0,Controls applied as per action plan
105,3,14.0,,ERGONOMIC,SLIP_TRIP_FALL,Worn carpet edge in Performing Arts Centre creating trip point,Performing Arts Centre,HIGH,CONTROLLED,2023-04-17,,29.0,Controls applied as per action plan
106,3,,,PHYSICAL,FALLING_OBJECTS,Loose guttering on the northern boundary at risk of falling in high winds,School grounds,LOW,OPEN,2024-08-01,,30.0,
107,3,14.0,,PHYSICAL,HEIGHTS,No edge protection on Performing Arts Centre roof access,Performing Arts Centre,MEDIUM,ELIMINATED,2024-06-17,,32.0,Controls applied as per action plan
108,3,,,ERGONOMIC,ELECTRICAL,Damaged power point cover in the northern boundary,School grounds,HIGH,OPEN,2025-04-21,,33.0,
109,3,,35.0,ERGONOMIC,SLIP_TRIP_FALL,Uneven paving stones near near the car park creating trip hazard,School grounds,MEDIUM,MONITORING,2025-04-21,,33.0,Controls applied as per action plan
110,3,,48.0,STRUCTURAL,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,School grounds,HIGH,MONITORING,2025-04-21,,33.0,Controls applied as per action plan
111,4,22.0,,STRUCTURAL,SLIP_TRIP_FALL,Uneven paving stones near Sports Pavilion creating trip hazard,Sports Pavilion,MEDIUM,MONITORING,2020-03-27,34.0,,Controls applied as per action plan
112,4,22.0,,ENVIRONMENTAL,FALLING_OBJECTS,Loose guttering on Sports Pavilion at risk of falling in high winds,Sports Pavilion,LOW,ELIMINATED,2020-03-27,34.0,,Controls applied as per action plan
113,4,19.0,,PHYSICAL,WATER,Standing water creating mosquito breeding ground,Block C,LOW,OPEN,2020-03-27,34.0,,
114,4,,,PHYSICAL,WATER,Standing water creating mosquito breeding ground,School grounds,LOW,CONTROLLED,2020-03-27,34.0,,Controls applied as per action plan
115,4,,,ENVIRONMENTAL,SLIP_TRIP_FALL,Worn carpet edge in near the car park creating trip point,School grounds,LOW,CONTROLLED,2020-09-10,35.0,,Controls applied as per action plan
116,4,,,STRUCTURAL,ELECTRICAL,Overhead power lines within reach of tree growth,School grounds,MEDIUM,ELIMINATED,2020-09-10,35.0,,Controls applied as per action plan
117,4,22.0,,ELECTRICAL,TREES,Dead branch overhanging walkway near Sports Pavilion,Sports Pavilion,MEDIUM,CONTROLLED,2021-03-21,36.0,,Controls applied as per action plan
118,4,,,PHYSICAL,ELECTRICAL,Damaged power point cover in the main entrance,School grounds,CRITICAL,CONTROLLED,2021-03-21,36.0,,Controls applied as per action plan
119,4,20.0,,ELECTRICAL,SLIP_TRIP_FALL,Worn carpet edge in Staff Block creating trip point,Staff Block,HIGH,CONTROLLED,2021-09-12,37.0,,Controls applied as per action plan
120,4,,,ENVIRONMENTAL,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,School grounds,MEDIUM,ELIMINATED,2021-09-12,37.0,,Controls applied as per action plan
121,4,19.0,,ELECTRICAL,TREES,Dead branch overhanging walkway near Block C,Block C,HIGH,ELIMINATED,2022-03-19,38.0,,Controls applied as per action plan
122,4,,,PHYSICAL,TRAFFIC,No speed limit signage in school grounds,School grounds,MEDIUM,OPEN,2022-09-07,39.0,,
123,4,,63.0,ERGONOMIC,SLIP_TRIP_FALL,Worn carpet edge in the sports field perimeter creating trip point,School grounds,HIGH,MONITORING,2022-09-07,39.0,,Controls applied as per action plan
124,4,22.0,,BIOLOGICAL,SLIP_TRIP_FALL,Uneven paving stones near Sports Pavilion creating trip hazard,Sports Pavilion,MEDIUM,CONTROLLED,2022-09-07,39.0,,Controls applied as per action plan
125,4,,,PHYSICAL,PLAYGROUND,Worn impact-absorbing surface below climbing frame,School grounds,LOW,CONTROLLED,2023-03-11,40.0,,Controls applied as per action plan
126,4,,59.0,ELECTRICAL,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,School grounds,MEDIUM,MONITORING,2023-03-11,40.0,,Controls applied as per action plan
127,4,,,ELECTRICAL,FALLING_OBJECTS,Unsecured items stored at height in adjacent to the playground,School grounds,LOW,CONTROLLED,2023-03-11,40.0,,Controls applied as per action plan
128,4,,65.0,ENVIRONMENTAL,SLIP_TRIP_FALL,Worn carpet edge in the main entrance creating trip point,School grounds,LOW,ELIMINATED,2023-09-07,41.0,,Controls applied as per action plan
129,4,20.0,,STRUCTURAL,WATER,Standing water creating mosquito breeding ground,Staff Block,HIGH,ELIMINATED,2023-09-07,41.0,,Controls applied as per action plan
130,4,20.0,,ENVIRONMENTAL,HEIGHTS,No edge protection on Staff Block roof access,Staff Block,HIGH,ELIMINATED,2023-09-07,41.0,,Controls applied as per action plan
131,4,19.0,,PHYSICAL,SLIP_TRIP_FALL,Worn carpet edge in Block C creating trip point,Block C,MEDIUM,CONTROLLED,2023-09-07,41.0,,Controls applied as per action plan
132,4,,,ENVIRONMENTAL,TREES,Unstable tree identified near the sports field perimeter boundary,School grounds,HIGH,OPEN,2025-03-14,44.0,,
133,4,,,ENVIRONMENTAL,ELECTRICAL,Damaged power point cover in near the car park,School grounds,HIGH,OPEN,2025-03-14,44.0,,
134,4,,68.0,ELECTRICAL,WEATHER,Ponding water near adjacent to the playground after rainfall,School grounds,MEDIUM,CONTROLLED,2025-03-14,44.0,,Controls applied as per action plan
135,4,19.0,,PHYSICAL,ELECTRICAL,Damaged power point cover in Block C,Block C,CRITICAL,MONITORING,2025-03-14,44.0,,Controls applied as per action plan
136,4,,,CHEMICAL,SLIP_TRIP_FALL,Uneven paving stones near the sports field perimeter creating trip hazard,School grounds,HIGH,MONITORING,2020-10-26,,34.0,Controls applied as per action plan
137,4,,68.0,PHYSICAL,WATER,Stormwater drain cover missing near playground,School grounds,HIGH,ELIMINATED,2020-10-26,,34.0,Controls applied as per action plan
138,4,21.0,,STRUCTURAL,ASBESTOS,Suspected ACM in ceiling tiles of Staff Facilities (pre-1990 construction),Staff Facilities,MEDIUM,CONTROLLED,2020-10-26,,34.0,Controls applied as per action plan
139,4,,,ENVIRONMENTAL,ELECTRICAL,Worn cable on portable equipment in adjacent to the playground,School grounds,LOW,ELIMINATED,2020-04-02,,35.0,Controls applied as per action plan
140,4,20.0,,PHYSICAL,FALLING_OBJECTS,Deteriorating fascia boards above Staff Block walkway,Staff Block,MEDIUM,MONITORING,2020-04-14,,36.0,Controls applied as per action plan
141,4,19.0,,ELECTRICAL,TREES,Large tree root lifting pathway surface,Block C,HIGH,CONTROLLED,2022-04-21,,38.0,Controls applied as per action plan
142,4,,,ELECTRICAL,SLIP_TRIP_FALL,Uneven paving stones near near the car park creating trip hazard,School grounds,LOW,MONITORING,2022-04-21,,38.0,Controls applied as per action plan
143,4,,61.0,PHYSICAL,SLIP_TRIP_FALL,Worn carpet edge in near the car park creating trip point,School grounds,MEDIUM,OPEN,2022-04-21,,38.0,
144,4,20.0,,ENVIRONMENTAL,ASBESTOS,Damaged soffit near Staff Block potentially containing asbestos,Staff Block,HIGH,CONTROLLED,2023-09-12,,40.0,Controls applied as per action plan
145,4,22.0,,PHYSICAL,WATER,Standing water creating mosquito breeding ground,Sports Pavilion,MEDIUM,ELIMINATED,2023-09-12,,40.0,Controls applied as per action plan
146,4,,,PHYSICAL,TRAFFIC,Inadequate separation between pedestrians and vehicles in drop-off zone,School grounds,LOW,ELIMINATED,2024-04-03,,42.0,Controls applied as per action plan
147,4,21.0,,ENVIRONMENTAL,TREES,Unstable tree identified near Staff Facilities boundary,Staff Facilities,MEDIUM,ELIMINATED,2024-04-03,,42.0,Controls applied as per action plan
148,4,,,PHYSICAL,ASBESTOS,Suspected ACM in ceiling tiles of the sports field perimeter (pre-1990 construction),School grounds,MEDIUM,OPEN,2024-09-03,,43.0,
149,4,,,ENVIRONMENTAL,TRAFFIC,Poor visibility at car park exit due to vegetation,School grounds,MEDIUM,MONITORING,2024-09-03,,43.0,Controls applied as per action plan
150,4,,,PHYSICAL,HEIGHTS,No edge protection on the northern boundary roof access,School grounds,LOW,OPEN,2024-09-03,,43.0,
151,4,,,ENVIRONMENTAL,MACHINERY,Missing guard on equipment in the sports field perimeter,School grounds,LOW,OPEN,2025-06-17,,44.0,
152,4,19.0,,CHEMICAL,SLIP_TRIP_FALL,Algae growth on pathway near Block C making surface slippery in wet conditions,Block C,CRITICAL,CONTROLLED,2025-06-17,,44.0,Controls applied as per action plan
153,5,,,STRUCTURAL,SLIP_TRIP_FALL,Algae growth on pathway near the northern boundary making surface slippery in wet conditions,School grounds,HIGH,OPEN,2020-03-23,45.0,,
154,5,,,CHEMICAL,WEATHER,Ponding water near near the car park after rainfall,School grounds,LOW,CONTROLLED,2020-03-23,45.0,,Controls applied as per action plan
155,5,23.0,,ENVIRONMENTAL,TREES,Large tree root lifting pathway surface,Arts Block,HIGH,CONTROLLED,2020-09-03,46.0,,Controls applied as per action plan
156,5,30.0,,PHYSICAL,ASBESTOS,Damaged soffit near Grounds Shed potentially containing asbestos,Grounds Shed,MEDIUM,OPEN,2020-09-03,46.0,,
157,5,30.0,,ENVIRONMENTAL,ELECTRICAL,Damaged power point cover in Grounds Shed,Grounds Shed,HIGH,OPEN,2020-09-03,46.0,,
158,5,27.0,,ENVIRONMENTAL,PLAYGROUND,Gap in playground fencing allowing access to road,Cricket Pavilion,MEDIUM,MONITORING,2020-09-03,46.0,,Controls applied as per action plan
159,5,,,ERGONOMIC,ELECTRICAL,Worn cable on portable equipment in the sports field perimeter,School grounds,HIGH,CONTROLLED,2021-03-18,47.0,,Controls applied as per action plan
