action_id,site_id,hazard_id,assessment_id,inspection_id,assigned_to_person_id,action_description,priority,due_date,completed_date,status,created_date,notes
57,3,96.0,33.0,,11,Replace worn equipment,HIGH,2025-04-24,,OVERDUE,2025-03-21,
58,3,96.0,33.0,,10,Replace worn equipment,CRITICAL,2025-03-31,2025-03-25,COMPLETED,2025-03-21,
59,3,96.0,33.0,,9,Improve lighting in affected area,HIGH,2025-04-23,2025-04-10,COMPLETED,2025-03-21,
60,3,98.0,,25.0,11,Apply anti-slip treatment to surface,CRITICAL,2021-11-17,,OVERDUE,2021-11-01,
61,3,101.0,,26.0,11,Conduct staff training on updated procedure,HIGH,2021-04-30,2021-04-23,COMPLETED,2021-04-07,
62,3,103.0,,27.0,9,Schedule professional inspection,HIGH,2021-03-02,2021-02-25,COMPLETED,2021-02-05,
63,3,106.0,,30.0,9,Schedule professional inspection,MEDIUM,2024-10-01,2024-09-05,COMPLETED,2024-08-01,
64,3,107.0,,32.0,10,Install additional safety signage,LOW,2024-09-11,2024-09-08,COMPLETED,2024-06-17,
65,3,110.0,,33.0,10,Improve lighting in affected area,MEDIUM,2025-06-15,2025-06-04,COMPLETED,2025-04-21,
66,3,110.0,,33.0,10,Schedule professional inspection,HIGH,2025-05-15,,OVERDUE,2025-04-21,
67,3,110.0,,33.0,10,Review and update risk register,CRITICAL,2025-05-09,2025-05-06,COMPLETED,2025-04-21,
68,4,114.0,34.0,,14,Review and update risk register,MEDIUM,2020-05-22,,OVERDUE,2020-03-27,
69,4,114.0,34.0,,13,Replace worn equipment,MEDIUM,2020-05-30,,OVERDUE,2020-03-27,
70,4,116.0,35.0,,14,Apply anti-slip treatment to surface,LOW,2020-12-10,2020-10-31,COMPLETED,2020-09-10,
71,4,116.0,35.0,,14,Schedule professional inspection,MEDIUM,2020-11-02,2020-10-09,COMPLETED,2020-09-10,
72,4,118.0,36.0,,13,Install guard rail or barrier,HIGH,2021-04-20,2021-04-06,COMPLETED,2021-03-21,
73,4,118.0,36.0,,14,Conduct staff training on updated procedure,LOW,2021-06-23,2021-06-14,COMPLETED,2021-03-21,
74,4,120.0,37.0,,13,Repair or replace damaged infrastructure,LOW,2021-12-12,,OVERDUE,2021-09-12,
75,4,120.0,37.0,,12,Apply anti-slip treatment to surface,HIGH,2021-10-07,,OVERDUE,2021-09-12,
76,4,120.0,37.0,,12,Update emergency procedures documentation,LOW,2021-12-16,2021-11-28,COMPLETED,2021-09-12,
77,4,121.0,38.0,,12,Remove or trim vegetation creating hazard,MEDIUM,2022-05-11,2022-04-21,COMPLETED,2022-03-19,
78,4,121.0,38.0,,14,Install guard rail or barrier,MEDIUM,2022-05-19,,OVERDUE,2022-03-19,
79,4,124.0,39.0,,14,Apply anti-slip treatment to surface,MEDIUM,2022-11-02,,IN_PROGRESS,2022-09-07,
80,4,124.0,39.0,,12,Repair or replace damaged infrastructure,MEDIUM,2022-11-03,2022-10-11,COMPLETED,2022-09-07,
81,4,124.0,39.0,,12,Repair or replace damaged infrastructure,LOW,2022-12-07,2022-11-14,COMPLETED,2022-09-07,
82,4,127.0,40.0,,12,Install guard rail or barrier,LOW,2023-06-04,2023-05-22,COMPLETED,2023-03-11,
83,4,127.0,40.0,,12,Schedule professional inspection,MEDIUM,2023-05-05,,IN_PROGRESS,2023-03-11,
84,4,127.0,40.0,,12,Schedule professional inspection,HIGH,2023-04-15,,OVERDUE,2023-03-11,
85,4,131.0,41.0,,13,Review and update risk register,MEDIUM,2023-10-30,2023-10-03,COMPLETED,2023-09-07,
86,4,131.0,41.0,,12,Install additional safety signage,LOW,2023-12-02,,OVERDUE,2023-09-07,
87,4,131.0,42.0,,14,Repair or replace damaged infrastructure,MEDIUM,2024-05-06,,OVERDUE,2024-03-05,
88,4,131.0,43.0,,14,Review and update risk register,HIGH,2024-10-26,,OVERDUE,2024-09-20,
89,4,135.0,44.0,,12,Install guard rail or barrier,MEDIUM,2025-05-17,2025-05-15,COMPLETED,2025-03-14,
90,4,135.0,44.0,,14,Install guard rail or barrier,CRITICAL,2025-03-21,2025-03-16,COMPLETED,2025-03-14,
91,4,135.0,44.0,,12,Apply anti-slip treatment to surface,LOW,2025-06-09,,OVERDUE,2025-03-14,
92,4,135.0,44.0,,14,Apply anti-slip treatment to surface,HIGH,2025-04-09,2025-04-05,COMPLETED,2025-03-14,
93,4,135.0,44.0,,12,Install additional safety signage,MEDIUM,2025-05-09,,IN_PROGRESS,2025-03-14,
94,4,138.0,,34.0,14,Install additional safety signage,HIGH,2020-11-22,,IN_PROGRESS,2020-10-26,
95,4,138.0,,34.0,12,Replace worn equipment,LOW,2021-01-18,,OVERDUE,2020-10-26,
96,4,145.0,,40.0,13,Install guard rail or barrier,MEDIUM,2023-11-10,2023-10-26,COMPLETED,2023-09-12,
97,4,145.0,,40.0,13,Apply anti-slip treatment to surface,HIGH,2023-10-13,2023-09-29,COMPLETED,2023-09-12,
98,4,152.0,,44.0,13,Replace worn equipment,LOW,2025-09-09,,OPEN,2025-06-17,
99,4,152.0,,44.0,12,Repair or replace damaged infrastructure,LOW,2025-09-10,,IN_PROGRESS,2025-06-17,
100,5,154.0,45.0,,17,Install guard rail or barrier,HIGH,2020-04-20,,IN_PROGRESS,2020-03-23,
101,5,154.0,45.0,,17,Review and update risk register,CRITICAL,2020-04-12,2020-04-11,COMPLETED,2020-03-23,
102,5,158.0,46.0,,15,Apply anti-slip treatment to surface,MEDIUM,2020-10-28,2020-10-13,COMPLETED,2020-09-03,
103,5,158.0,46.0,,17,Conduct staff training on updated procedure,MEDIUM,2020-11-07,2020-10-16,COMPLETED,2020-09-03,
104,5,161.0,47.0,,15,Remove or trim vegetation creating hazard,LOW,2021-06-10,2021-05-22,COMPLETED,2021-03-18,
105,5,161.0,47.0,,16,Schedule professional inspection,LOW,2021-06-22,2021-06-11,COMPLETED,2021-03-18,
106,5,161.0,47.0,,15,Schedule professional inspection,HIGH,2021-04-20,2021-04-10,COMPLETED,2021-03-18,
107,5,163.0,48.0,,17,Remove or trim vegetation creating hazard,LOW,2021-12-16,2021-12-04,COMPLETED,2021-09-24,
108,5,169.0,50.0,,16,Remove or trim vegetation creating hazard,LOW,2022-11-29,2022-11-26,COMPLETED,2022-09-05,
109,5,169.0,50.0,,17,Conduct staff training on updated procedure,HIGH,2022-10-05,2022-10-03,COMPLETED,2022-09-05,
110,5,169.0,50.0,,17,Update emergency procedures documentation,LOW,2022-11-27,,IN_PROGRESS,2022-09-05,
111,5,169.0,50.0,,17,Apply anti-slip treatment to surface,CRITICAL,2022-09-12,2022-09-06,COMPLETED,2022-09-05,
112,5,170.0,51.0,,15,Conduct staff training on updated procedure,MEDIUM,2023-05-13,,IN_PROGRESS,2023-03-14,
113,5,170.0,51.0,,16,Improve lighting in affected area,CRITICAL,2023-03-26,2023-03-22,COMPLETED,2023-03-14,
114,5,173.0,52.0,,16,Remove or trim vegetation creating hazard,MEDIUM,2023-11-19,2023-10-30,COMPLETED,2023-09-25,
115,5,173.0,52.0,,16,Remove or trim vegetation creating hazard,LOW,2023-12-17,2023-11-19,COMPLETED,2023-09-25,
116,5,173.0,52.0,,15,Apply anti-slip treatment to surface,LOW,2023-12-26,2023-12-05,COMPLETED,2023-09-25,
117,5,173.0,52.0,,17,Conduct staff training on updated procedure,MEDIUM,2023-11-21,,OVERDUE,2023-09-25,
118,5,173.0,53.0,,16,Replace worn equipment,HIGH,2024-04-16,2024-04-09,COMPLETED,2024-03-14,
119,5,175.0,54.0,,16,Improve lighting in affected area,HIGH,2024-10-22,2024-10-20,COMPLETED,2024-09-16,
120,5,175.0,54.0,,16,Conduct staff training on updated procedure,HIGH,2024-10-18,2024-10-08,COMPLETED,2024-09-16,
121,5,178.0,55.0,,15,Apply anti-slip treatment to surface,HIGH,2025-04-22,,OVERDUE,2025-03-24,
122,5,178.0,55.0,,16,Engage contractor for specialist repair,HIGH,2025-04-18,2025-04-18,COMPLETED,2025-03-24,
123,5,179.0,,46.0,16,Schedule professional inspection,MEDIUM,2020-09-14,2020-09-10,COMPLETED,2020-07-21,
124,5,183.0,,49.0,16,Engage contractor for specialist repair,HIGH,2021-09-18,2021-09-07,COMPLETED,2021-08-22,
125,5,183.0,,49.0,16,Replace worn equipment,LOW,2021-11-22,2021-11-10,COMPLETED,2021-08-22,
126,5,183.0,,49.0,15,Update emergency procedures documentation,LOW,2021-11-18,,OVERDUE,2021-08-22,
127,5,190.0,,52.0,16,Engage contractor for specialist repair,CRITICAL,2024-07-25,2024-07-25,COMPLETED,2024-07-14,
128,5,194.0,,54.0,15,Install additional safety signage,MEDIUM,2024-05-31,2024-05-24,COMPLETED,2024-03-26,
129,5,194.0,,54.0,15,Schedule professional inspection,MEDIUM,2024-05-26,2024-05-14,COMPLETED,2024-03-26,
130,6,198.0,56.0,,19,Improve lighting in affected area,MEDIUM,2020-05-10,2020-04-23,COMPLETED,2020-03-07,
131,6,198.0,56.0,,19,Schedule professional inspection,CRITICAL,2020-03-25,,OVERDUE,2020-03-07,
132,6,198.0,56.0,,18,Conduct staff training on updated procedure,HIGH,2020-04-12,2020-04-12,COMPLETED,2020-03-07,
133,6,198.0,56.0,,21,Conduct staff training on updated procedure,MEDIUM,2020-05-10,,OVERDUE,2020-03-07,
134,6,198.0,56.0,,19,Review and update risk register,CRITICAL,2020-03-24,2020-03-22,COMPLETED,2020-03-07,
135,6,200.0,57.0,,18,Install guard rail or barrier,LOW,2020-12-26,2020-11-16,COMPLETED,2020-09-22,
136,6,200.0,57.0,,21,Schedule professional inspection,MEDIUM,2020-11-26,,OVERDUE,2020-09-22,
137,6,202.0,60.0,,19,Install additional safety signage,MEDIUM,2022-05-16,2022-05-12,COMPLETED,2022-03-14,
138,6,202.0,60.0,,20,Improve lighting in affected area,HIGH,2022-04-11,2022-03-28,COMPLETED,2022-03-14,
139,6,203.0,62.0,,20,Install additional safety signage,CRITICAL,2023-03-19,2023-03-15,COMPLETED,2023-03-09,
140,6,205.0,63.0,,21,Install guard rail or barrier,MEDIUM,2023-11-18,2023-11-12,COMPLETED,2023-09-20,
141,6,205.0,63.0,,21,Install additional safety signage,CRITICAL,2023-09-30,2023-09-29,COMPLETED,2023-09-20,
142,6,205.0,63.0,,20,Repair or replace damaged infrastructure,MEDIUM,2023-11-13,,OVERDUE,2023-09-20,
143,6,207.0,64.0,,18,Engage contractor for specialist repair,HIGH,2024-04-12,2024-04-07,COMPLETED,2024-03-19,
144,6,207.0,65.0,,21,Engage contractor for specialist repair,LOW,2024-12-12,2024-11-18,COMPLETED,2024-09-19,
145,6,209.0,66.0,,20,Review and update risk register,MEDIUM,2025-05-09,2025-04-30,COMPLETED,2025-03-16,
146,6,209.0,66.0,,19,Apply anti-slip treatment to surface,MEDIUM,2025-05-19,2025-05-10,COMPLETED,2025-03-16,
147,6,209.0,66.0,,19,Apply anti-slip treatment to surface,CRITICAL,2025-03-30,,OVERDUE,2025-03-16,
148,6,211.0,,56.0,19,Install additional safety signage,MEDIUM,2020-07-29,,OVERDUE,2020-06-06,
149,6,215.0,,58.0,19,Review and update risk register,MEDIUM,2021-07-19,2021-07-01,COMPLETED,2021-05-16,
150,6,217.0,,59.0,19,Update emergency procedures documentation,MEDIUM,2021-08-28,,IN_PROGRESS,2021-06-23,
151,6,218.0,,60.0,20,Improve lighting in affected area,MEDIUM,2022-10-05,2022-09-25,COMPLETED,2022-08-05,
152,6,224.0,,64.0,20,Remove or trim vegetation creating hazard,HIGH,2024-09-10,2024-09-10,COMPLETED,2024-08-17,
153,6,224.0,,64.0,18,Review and update risk register,MEDIUM,2024-10-17,2024-09-30,COMPLETED,2024-08-17,
154,7,232.0,68.0,,22,Schedule professional inspection,MEDIUM,2020-10-24,,OVERDUE,2020-09-01,
155,7,235.0,69.0,,23,Improve lighting in affected area,LOW,2021-06-03,2021-04-20,COMPLETED,2021-03-10,
156,7,235.0,69.0,,22,Apply anti-slip treatment to surface,HIGH,2021-04-14,2021-03-31,COMPLETED,2021-03-10,
157,7,235.0,69.0,,22,Replace worn equipment,LOW,2021-06-06,2021-05-31,COMPLETED,2021-03-10,
158,7,235.0,70.0,,23,Apply anti-slip treatment to surface,HIGH,2021-10-29,2021-10-29,COMPLETED,2021-09-23,
159,7,237.0,71.0,,23,Improve lighting in affected area,LOW,2022-06-04,,IN_PROGRESS,2022-03-04,
160,7,237.0,71.0,,23,Install guard rail or barrier,HIGH,2022-03-31,,OVERDUE,2022-03-04,
161,7,239.0,72.0,,24,Review and update risk register,LOW,2022-12-11,,OVERDUE,2022-09-10,
162,7,239.0,72.0,,22,Install additional safety signage,HIGH,2022-10-10,2022-10-07,COMPLETED,2022-09-10,
163,7,239.0,72.0,,22,Review and update risk register,MEDIUM,2022-11-04,2022-10-21,COMPLETED,2022-09-10,
164,7,241.0,73.0,,24,Install guard rail or barrier,MEDIUM,2023-05-07,2023-04-08,COMPLETED,2023-03-13,
165,7,241.0,73.0,,24,Remove or trim vegetation creating hazard,LOW,2023-06-10,,OVERDUE,2023-03-13,
166,7,244.0,74.0,,22,Remove or trim vegetation creating hazard,CRITICAL,2023-10-05,,IN_PROGRESS,2023-09-17,
167,7,248.0,75.0,,22,Update emergency procedures documentation,MEDIUM,2024-05-19,2024-05-11,COMPLETED,2024-03-24,
168,7,248.0,75.0,,23,Conduct staff training on updated procedure,MEDIUM,2024-05-19,2024-05-19,COMPLETED,2024-03-24,
169,7,248.0,75.0,,23,Review and update risk register,HIGH,2024-04-21,2024-04-09,COMPLETED,2024-03-24,
170,7,248.0,75.0,,22,Conduct staff training on updated procedure,HIGH,2024-04-21,,OVERDUE,2024-03-24,
171,7,250.0,76.0,,23,Repair or replace damaged infrastructure,HIGH,2024-10-16,,OVERDUE,2024-09-22,
172,7,252.0,77.0,,24,Conduct staff training on updated procedure,LOW,2025-06-25,2025-06-14,COMPLETED,2025-03-21,
173,7,255.0,,67.0,23,Install additional safety signage,HIGH,2021-03-16,2021-03-07,COMPLETED,2021-02-20,
174,7,256.0,,68.0,23,Schedule professional inspection,MEDIUM,2021-07-09,2021-06-12,COMPLETED,2021-05-05,
175,7,257.0,,69.0,23,Remove or trim vegetation creating hazard,MEDIUM,2022-10-09,2022-09-27,COMPLETED,2022-08-14,
176,7,260.0,,70.0,22,Install guard rail or barrier,MEDIUM,2023-11-13,2023-10-31,COMPLETED,2023-09-17,
177,7,260.0,,70.0,23,Review and update risk register,MEDIUM,2023-11-19,2023-11-16,COMPLETED,2023-09-17,
178,7,260.0,,70.0,22,Schedule professional inspection,MEDIUM,2023-11-16,,IN_PROGRESS,2023-09-17,
179,7,263.0,,73.0,24,Update emergency procedures documentation,HIGH,2024-06-08,,IN_PROGRESS,2024-05-07,
180,8,270.0,79.0,,26,Review and update risk register,MEDIUM,2020-11-11,,IN_PROGRESS,2020-09-14,
181,8,270.0,79.0,,25,Update emergency procedures documentation,MEDIUM,2020-11-15,2020-10-17,COMPLETED,2020-09-14,
182,8,270.0,79.0,,25,Install additional safety signage,LOW,2020-12-12,2020-11-26,COMPLETED,2020-09-14,
183,8,273.0,80.0,,27,Review and update risk register,CRITICAL,2021-03-29,2021-03-28,COMPLETED,2021-03-17,
184,8,273.0,80.0,,26,Improve lighting in affected area,HIGH,2021-04-12,,OVERDUE,2021-03-17,
185,8,273.0,80.0,,26,Install additional safety signage,CRITICAL,2021-03-29,2021-03-27,COMPLETED,2021-03-17,
186,8,273.0,80.0,,27,Schedule professional inspection,HIGH,2021-04-16,,IN_PROGRESS,2021-03-17,
187,8,274.0,81.0,,27,Engage contractor for specialist repair,MEDIUM,2021-11-21,2021-11-10,COMPLETED,2021-09-19,
188,8,277.0,83.0,,25,Improve lighting in affected area,LOW,2022-12-20,2022-11-16,COMPLETED,2022-09-17,
189,8,277.0,83.0,,27,Replace worn equipment,HIGH,2022-10-22,2022-10-09,COMPLETED,2022-09-17,
190,8,277.0,83.0,,26,Schedule professional inspection,HIGH,2022-10-17,,IN_PROGRESS,2022-09-17,
191,8,277.0,84.0,,27,Conduct staff training on updated procedure,MEDIUM,2023-05-21,,OVERDUE,2023-03-18,
192,8,278.0,85.0,,26,Review and update risk register,HIGH,2023-10-27,,IN_PROGRESS,2023-09-24,
193,8,278.0,85.0,,25,Install additional safety signage,MEDIUM,2023-11-25,2023-11-14,COMPLETED,2023-09-24,
194,8,279.0,86.0,,27,Remove or trim vegetation creating hazard,MEDIUM,2024-05-19,,IN_PROGRESS,2024-03-16,
195,8,283.0,87.0,,25,Apply anti-slip treatment to surface,MEDIUM,2024-11-24,,OVERDUE,2024-09-24,
196,8,287.0,88.0,,25,Review and update risk register,MEDIUM,2025-05-19,2025-04-26,COMPLETED,2025-03-23,
197,8,289.0,,77.0,26,Schedule professional inspection,MEDIUM,2020-08-24,2020-08-23,COMPLETED,2020-06-21,
198,8,289.0,,77.0,26,Conduct staff training on updated procedure,MEDIUM,2020-08-23,2020-08-21,COMPLETED,2020-06-21,
199,8,291.0,,79.0,26,Repair or replace damaged infrastructure,HIGH,2020-11-01,,OVERDUE,2020-10-04,
200,8,293.0,,80.0,25,Engage contractor for specialist repair,MEDIUM,2021-06-09,,IN_PROGRESS,2021-04-13,
201,8,293.0,,80.0,25,Replace worn equipment,HIGH,2021-05-08,2021-04-25,COMPLETED,2021-04-13,
202,8,295.0,,83.0,25,Improve lighting in affected area,MEDIUM,2023-09-19,2023-09-04,COMPLETED,2023-07-27,
203,8,297.0,,84.0,25,Review and update risk register,MEDIUM,2024-12-10,,IN_PROGRESS,2024-10-18,
204,8,297.0,,84.0,27,Engage contractor for specialist repair,MEDIUM,2024-12-23,,IN_PROGRESS,2024-10-18,
205,8,300.0,,85.0,26,Apply anti-slip treatment to surface,MEDIUM,2024-08-31,,OVERDUE,2024-07-04,
206,8,302.0,,86.0,26,Update emergency procedures documentation,MEDIUM,2025-08-07,,OPEN,2025-06-07,
207,8,302.0,,86.0,26,Review and update risk register,LOW,2025-09-11,,OPEN,2025-06-07,
208,9,306.0,89.0,,31,Update emergency procedures documentation,MEDIUM,2020-05-21,2020-04-27,COMPLETED,2020-03-24,
209,9,306.0,89.0,,29,Update emergency procedures documentation,LOW,2020-06-26,,OVERDUE,2020-03-24,
210,9,306.0,89.0,,31,Install guard rail or barrier,MEDIUM,2020-05-26,,OVERDUE,2020-03-24,
211,9,314.0,93.0,,29,Apply anti-slip treatment to surface,MEDIUM,2022-05-02,,OVERDUE,2022-03-08,
212,9,317.0,96.0,,31,Engage contractor for specialist repair,MEDIUM,2023-11-16,,IN_PROGRESS,2023-09-11,
213,9,317.0,96.0,,31,Update emergency procedures documentation,LOW,2023-12-05,,OVERDUE,2023-09-11,
214,9,317.0,96.0,,28,Improve lighting in affected area,HIGH,2023-10-07,,IN_PROGRESS,2023-09-11,
215,9,323.0,99.0,,29,Schedule professional inspection,LOW,2025-06-21,,OVERDUE,2025-03-17,
216,9,323.0,99.0,,30,Conduct staff training on updated procedure,HIGH,2025-04-14,2025-04-09,COMPLETED,2025-03-17,
217,9,323.0,99.0,,28,Schedule professional inspection,MEDIUM,2025-05-17,2025-04-22,COMPLETED,2025-03-17,
218,9,328.0,,89.0,30,Remove or trim vegetation creating hazard,CRITICAL,2020-07-04,2020-06-28,COMPLETED,2020-06-14,
219,9,328.0,,89.0,30,Apply anti-slip treatment to surface,MEDIUM,2020-08-14,,IN_PROGRESS,2020-06-14,
220,9,328.0,,89.0,30,Engage contractor for specialist repair,LOW,2020-09-11,,OVERDUE,2020-06-14,
221,9,330.0,,90.0,29,Replace worn equipment,LOW,2021-06-21,,IN_PROGRESS,2021-03-23,
222,9,330.0,,90.0,31,Install guard rail or barrier,HIGH,2021-04-28,2021-04-23,COMPLETED,2021-03-23,
223,9,333.0,,91.0,30,Improve lighting in affected area,MEDIUM,2022-11-01,2022-10-14,COMPLETED,2022-09-09,
224,9,333.0,,91.0,29,Install guard rail or barrier,HIGH,2022-10-11,,IN_PROGRESS,2022-09-09,
225,9,333.0,,91.0,28,Repair or replace damaged infrastructure,MEDIUM,2022-11-13,,IN_PROGRESS,2022-09-09,
226,9,335.0,,93.0,30,Improve lighting in affected area,HIGH,2023-07-27,,OVERDUE,2023-06-21,
227,9,338.0,,94.0,28,Apply anti-slip treatment to surface,LOW,2023-07-28,,IN_PROGRESS,2023-05-04,
228,9,338.0,,94.0,29,Schedule professional inspection,LOW,2023-08-05,2023-07-01,COMPLETED,2023-05-04,
229,9,338.0,,94.0,29,Install guard rail or barrier,HIGH,2023-05-30,2023-05-26,COMPLETED,2023-05-04,
230,9,340.0,,95.0,31,Replace worn equipment,LOW,2024-05-08,,IN_PROGRESS,2024-02-06,
231,9,344.0,,97.0,31,Install guard rail or barrier,LOW,2026-02-22,,IN_PROGRESS,2025-11-26,
232,9,344.0,,97.0,30,Update emergency procedures documentation,HIGH,2025-12-19,,OPEN,2025-11-26,
