site_id,site_name,street_address,suburb,town_city,postal_code,latitude,longitude,location,region,territorial_authority,education_region,urban_rural,school_type,school_definition,authority,total_roll,equity_index,status
40,Rutherford College,Kotuku Street ,Te Atatu,Auckland,610.0,-36.85259,174.646309,POINT(174.646309 -36.85259),Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,1607,459,Open
41,Macleans College,2 Macleans Road ,Bucklands Beach,Auckland,2145.0,-36.882722,174.914424,POINT(174.914424 -36.882722),Auckland Region,Howick Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,3078,385,Open
42,Green Bay High School,143-161 Godley Road ,Green Bay,Auckland,604.0,-36.93095,174.669395,POINT(174.669395 -36.93095),Auckland Region,Whau Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,1959,430,Open
43,Massey High School,274 Don Buck Road ,Massey,Auckland,614.0,-36.84188,174.601693,POINT(174.601693 -36.84188),Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,2113,486,Open
44,Waitakere College,42 Rathgar Road ,Henderson,Auckland,650.0,-36.867097,174.620712,POINT(174.620712 -36.867097),Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,1988,480,Open
45,Henderson High School,Henderson Valley Road ,Henderson,Auckland,650.0,-36.883656,174.628205,POINT(174.628205 -36.883656),Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,1048,481,Open
46,Liston College,69 Rathgar Road ,Henderson,Auckland,610.0,-36.866064,174.623159,POINT(174.623159 -36.866064),Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 7-15),,State : Integrated,856,414,Open
47,St Dominic's Catholic College (Henderson),29 Rathgar Road ,Henderson,Auckland,650.0,-36.868859,174.621071,POINT(174.621071 -36.868859),Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 7-15),,State : Integrated,851,423,Open
48,Western Springs College-Ngā Puna o Waiōrea,Motions Road ,Western Springs,Auckland,1022.0,-36.861976,174.717535,POINT(174.717535 -36.861976),Auckland Region,Waitematā Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,1758,422,Open
49,Selwyn College,Kohimarama Road ,Kohimarama,Auckland,1071.0,-36.86233,174.838551,POINT(174.838551 -36.86233),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,1588,411,Open
50,St Mary's College (Ponsonby),11 New Street ,Ponsonby,Auckland,1144.0,-36.846003,174.748234,POINT(174.748234 -36.846003),Auckland Region,Waitematā Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,998,388,Open
51,St Paul's College (Ponsonby),183 Richmond Road ,Ponsonby,Auckland,1021.0,-36.854456,174.73779,POINT(174.73779 -36.854456),Auckland Region,Waitematā Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,395,480,Open
52,Tyndale Park Christian School,206 Murphys Road ,Flat Bush,Auckland,2019.0,-36.974546,174.922239,POINT(174.922239 -36.974546),Auckland Region,Howick Local Board Area,Tāmaki Herenga Waka,Major urban area,Composite,,Private : Fully Registered,115,0,Open
53,Auckland Girls' Grammar School,Howe Street ,Newton,Auckland,1141.0,-36.856867,174.753659,POINT(174.753659 -36.856867),Auckland Region,Waitematā Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,1191,485,Open
54,Auckland Grammar School,Mountain Road ,Epsom,Auckland,1149.0,-36.869414,174.768851,POINT(174.768851 -36.869414),Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,2767,386,Open
57,Tamaki College,Elstree Avenue ,Glen Innes,Auckland,1743.0,-36.877943,174.867271,POINT(174.867271 -36.877943),Auckland Region,Maungakiekie-Tāmaki Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,719,526,Open
58,Tangaroa College,Haumia Way ,Otara,Auckland,2159.0,-36.972905,174.892909,POINT(174.892909 -36.972905),Auckland Region,Ōtara-Papatoetoe Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,1082,521,Open
59,Sacred Heart College (Auckland),250 West Tamaki Road ,Glendowie,Auckland,1071.0,-36.868894,174.872413,POINT(174.872413 -36.868894),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,1511,394,Open
60,Saint Kentigern Girls' School,82 Shore Road ,Remuera,Auckland,1541.0,-36.865324,174.803912,POINT(174.803912 -36.865324),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Full Primary,,Private : Fully Registered,388,0,Open
61,Baradene College,237 Victoria Avenue ,Remuera,Auckland,1541.0,-36.865643,174.800324,POINT(174.800324 -36.865643),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,1531,370,Open
62,St Peter's College (Epsom),Mountain Road ,Grafton,Auckland,1023.0,-36.867787,174.769673,POINT(174.769673 -36.867787),Auckland Region,Waitematā Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,1318,383,Open
63,Marcellin College,617 Mt Albert Road ,Royal Oak,Auckland,1345.0,-36.91013,174.766435,POINT(174.766435 -36.91013),Auckland Region,Puketāpapa Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,466,470,Open
64,Epsom Girls Grammar School,Silver Road ,Epsom,Auckland,1023.0,-36.876921,174.776577,POINT(174.776577 -36.876921),Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,2316,402,Open
65,Glendowie College,21 Crossfield Road ,Glendowie,Auckland,1071.0,-36.862578,174.868137,POINT(174.868137 -36.862578),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,1195,392,Open
66,Dilworth School,2 Erin Street ,Remuera,Auckland,1541.0,-36.880303,174.781062,POINT(174.781062 -36.880303),Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,Major urban area,Composite,,Private : Fully Registered,506,0,Open
67,Diocesan School For Girls,Clyde Street ,Epsom,Auckland,1149.0,-36.879258,174.77947,POINT(174.77947 -36.879258),Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,Major urban area,Composite,,Private : Fully Registered,1725,0,Open
68,St Cuthbert's College (Epsom),122 Market Road ,Epsom,Auckland,1344.0,-36.887581,174.77825,POINT(174.77825 -36.887581),Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,Major urban area,Composite,,Private : Fully Registered,1643,0,Open
69,Mt Albert Grammar School,36 Alberton Ave ,Mount Albert,Auckland,1025.0,-36.884707,174.725349,POINT(174.725349 -36.884707),Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,3625,415,Open
70,Marist College,31 Alberton Avenue ,Mount Albert,Auckland,1025.0,-36.881938,174.726132,POINT(174.726132 -36.881938),Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,766,398,Open
74,Mt Roskill Grammar,Frost Road ,Mount Roskill,Auckland,1041.0,-36.912708,174.747139,POINT(174.747139 -36.912708),Auckland Region,Puketāpapa Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,1919,444,Open
75,Lynfield College,White Swan Road ,Mount Roskill,Auckland,1041.0,-36.921035,174.715436,POINT(174.715436 -36.921035),Auckland Region,Puketāpapa Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,2017,417,Open
77,Bethlehem College,24 Elder Lane ,Bethlehem,Tauranga,3143.0,-37.704974,176.11123,POINT(176.11123 -37.704974),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Composite,,State : Integrated,2108,409,Open
78,Avondale College,Victor Street ,Avondale,Auckland,1026.0,-36.891482,174.691137,POINT(174.691137 -36.891482),Auckland Region,Whau Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,2788,439,Open
79,Edgewater College,32 Edgewater Drive ,Pakuranga,Auckland,2010.0,-36.922507,174.874746,POINT(174.874746 -36.922507),Auckland Region,Howick Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,639,497,Open
80,Pakūranga College,Pigeon Mountain Road ,Bucklands Beach,Auckland,2143.0,-36.89763,174.901771,POINT(174.901771 -36.89763),Auckland Region,Howick Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,2270,431,Open
81,Saint Kentigern College,130 Pakuranga Road ,Pakuranga,Auckland,2140.0,-36.909712,174.875035,POINT(174.875035 -36.909712),Auckland Region,Howick Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,Private : Fully Registered,2343,0,Open
82,Aidanfield Christian School,2 Nash Road ,Aidanfield,Christchurch,8025.0,-43.563771,172.571,POINT(172.571 -43.563771),Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",Major urban area,Composite,,State : Integrated,465,377,Open
83,Kelston Boys' High School,Archibald Road ,New Lynn,Auckland,640.0,-36.898785,174.666886,POINT(174.666886 -36.898785),Auckland Region,Whau Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,821,505,Open
84,Kelston Girls' College,Great North Road ,New Lynn,Auckland,640.0,-36.908063,174.664361,POINT(174.664361 -36.908063),Auckland Region,Whau Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 9-15),,State,594,507,Open
85,One Tree Hill College,421 Great South Road ,Penrose,Auckland,1546.0,-36.902825,174.80696,POINT(174.80696 -36.902825),Auckland Region,Maungakiekie-Tāmaki Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,1472,466,Open
86,Onehunga High School,24 Pleasant Street ,Onehunga,Auckland,1061.0,-36.919501,174.770963,POINT(174.770963 -36.919501),Auckland Region,Maungakiekie-Tāmaki Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,1010,478,Open
87,Howick College,Sandspit Road ,Howick South,Auckland,2145.0,-36.90657,174.939278,POINT(174.939278 -36.90657),Auckland Region,Howick Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,State,2217,432,Open
88,Otahuhu College,74-78 Mangere Road ,Otahuhu,Auckland,1640.0,-36.953118,174.840645,POINT(174.840645 -36.953118),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,1151,509,Open
89,King's College,Golf Avenue ,Otahuhu,Auckland,1640.0,-36.959802,174.837266,POINT(174.837266 -36.959802),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,Private : Fully Registered,1233,0,Open
90,McAuley High School,26 High Street ,Otahuhu,Auckland,1640.0,-36.944408,174.847352,POINT(174.847352 -36.944408),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State : Integrated,770,483,Open
91,Mangere College,23 Bader Drive ,Mangere,Auckland,2153.0,-36.959618,174.791589,POINT(174.791589 -36.959618),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,772,521,Open
93,Auckland Seventh-Day Adventist H S,119 Mountain Road ,Mangere Bridge,Auckland,2022.0,-36.956393,174.785003,POINT(174.785003 -36.956393),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State : Integrated,333,489,Open
94,De La Salle College,81 Gray Avenue ,Mangere East,Auckland,2158.0,-36.964806,174.837764,POINT(174.837764 -36.964806),Auckland Region,Ōtara-Papatoetoe Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 7-15),,State : Integrated,971,484,Open
95,Papatoetoe High School,19 Nicholson Avenue ,Papatoetoe,Auckland,2155.0,-36.975523,174.871805,POINT(174.871805 -36.975523),Auckland Region,Ōtara-Papatoetoe Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,1815,472,Open
96,Aorere College,Portage Road ,Papatoetoe,Auckland,2155.0,-36.981416,174.833081,POINT(174.833081 -36.981416),Auckland Region,Ōtara-Papatoetoe Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,1701,497,Open
97,Sir Edmund Hillary Collegiate Senior School,2 Franklyne Road ,Otara,Auckland,2159.0,-36.951275,174.87553,POINT(174.87553 -36.951275),Auckland Region,Ōtara-Papatoetoe Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,664,525,Open
99,Manurewa High School,67 Browns Road ,Manurewa,Auckland,2243.0,-37.011253,174.882302,POINT(174.882302 -37.011253),Auckland Region,Manurewa Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,2384,508,Open
100,Te Haikura a Kiwa,Dr Pickering Avenue ,Manurewa,Auckland,2243.0,-37.03498,174.885978,POINT(174.885978 -37.03498),Auckland Region,Manurewa Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,1867,529,Open
101,Papakura High School,Willis Road ,,Papakura,2244.0,-37.062945,174.950801,POINT(174.950801 -37.062945),Auckland Region,Papakura Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,1337,531,Open
102,Rosehill College,5 Edinburgh Avenue ,,Papakura,2244.0,-37.076585,174.936559,POINT(174.936559 -37.076585),Auckland Region,Papakura Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 9-15),,State,1772,473,Open
103,Pukekohe High School,14 Harris Street ,,Pukekohe,2340.0,-37.204552,174.905826,POINT(174.905826 -37.204552),Auckland Region,Franklin Local Board Area,Tāmaki Herenga Waka,Medium urban area,Secondary (Year 9-15),,State,1938,465,Open
104,Wesley College,State Highway 22 ,,Pukekohe,2340.0,-37.148293,174.890163,POINT(174.890163 -37.148293),Auckland Region,Franklin Local Board Area,Tāmaki Herenga Waka,Rural settlement,Secondary (Year 7-15),,State : Integrated,330,509,Open
105,Waiuku College,Constable Road ,,Waiuku,2341.0,-37.251019,174.725723,POINT(174.725723 -37.251019),Auckland Region,Franklin Local Board Area,Tāmaki Herenga Waka,Small urban area,Secondary (Year 9-15),,State,1002,476,Open
106,Tuakau College,Elizabeth Street ,,Tuakau,2342.0,-37.263023,174.93426,POINT(174.93426 -37.263023),Waikato Region,Waikato District,Tāmaki Herenga Waka,Small urban area,Secondary (Year 7-15),,State,1016,485,Open
108,Onewhero Area School,29 Hall Road ,Onewhero,Tuakau,2697.0,-37.332158,174.916276,POINT(174.916276 -37.332158),Waikato Region,Waikato District,Tāmaki Herenga Waka,Rural other,Composite,,State,390,467,Open
109,Coromandel Area School,Woollams Avenue ,,Coromandel,3543.0,-36.759266,175.500031,POINT(175.500031 -36.759266),Waikato Region,Thames-Coromandel District,Waikato,Small urban area,Composite,,State,212,512,Open
110,Mercury Bay Area School,South Highway ,,Whitianga,3510.0,-36.841247,175.698102,POINT(175.698102 -36.841247),Waikato Region,Thames-Coromandel District,Waikato,Small urban area,Composite,,State,868,465,Open
111,Thames High School,300 Sealey Street ,,Thames,3540.0,-37.139546,175.544879,POINT(175.544879 -37.139546),Waikato Region,Thames-Coromandel District,Waikato,Small urban area,Secondary (Year 9-15),,State,402,489,Open
112,Hauraki Plains College,2 Kaihere Road ,,Ngatea,3541.0,-37.276618,175.498679,POINT(175.498679 -37.276618),Waikato Region,Hauraki District,Waikato,Small urban area,Secondary (Year 9-15),,State,866,468,Open
113,Paeroa College,15 Te Aroha Road ,,Paeroa,3640.0,-37.385437,175.669282,POINT(175.669282 -37.385437),Waikato Region,Hauraki District,Waikato,Small urban area,Secondary (Year 9-15),,State,322,507,Open
114,Waihi College,Kensington Road ,,Waihi,3641.0,-37.386212,175.83115,POINT(175.83115 -37.386212),Waikato Region,Hauraki District,Waikato,Small urban area,Secondary (Year 7-15),,State,552,485,Open
115,Te Kauwhata College,50-64 Waerenga Road ,,Te Kauwhata,3741.0,-37.400837,175.151096,POINT(175.151096 -37.400837),Waikato Region,Waikato District,Waikato,Small urban area,Secondary (Year 7-15),,State,504,500,Open
116,Te Aroha College,106 Stanley Avenue ,,Te Aroha,3342.0,-37.541904,175.693304,POINT(175.693304 -37.541904),Waikato Region,Matamata-Piako District,Waikato,Small urban area,Secondary (Year 9-15),,State,401,492,Open
117,Katikati College,Beach Road ,,Katikati,3129.0,-37.552923,175.921779,POINT(175.921779 -37.552923),Bay of Plenty Region,Western Bay of Plenty District,"Bay of Plenty, Waiariki",Small urban area,Secondary (Year 7-15),,State,839,465,Open
118,Mount Maunganui College,565 Maunganui Road ,,Mount Maunganui,3116.0,-37.662776,176.207104,POINT(176.207104 -37.662776),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Secondary (Year 9-15),,State,1756,452,Open
119,Huntly College,Bridge Street ,,Huntly,3740.0,-37.562095,175.15226,POINT(175.15226 -37.562095),Waikato Region,Waikato District,Waikato,Small urban area,Secondary (Year 9-15),,State,200,552,Open
120,Ōtūmoetai College,105 Windsor Road ,Tauranga Central,Tauranga,3145.0,-37.678754,176.129106,POINT(176.129106 -37.678754),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Secondary (Year 9-15),,State,2002,451,Open
121,Tauranga Boys' College,664 Cameron Road ,,Tauranga,3112.0,-37.702139,176.156216,POINT(176.156216 -37.702139),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Secondary (Year 9-15),,State,2288,456,Open
122,Tauranga Girls' College,930 Cameron Road ,Gate Pa,Tauranga,3112.0,-37.712366,176.144959,POINT(176.144959 -37.712366),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Secondary (Year 9-15),,State,1456,466,Open
123,Te Puke High School,19 Tui Street ,,Te Puke,3153.0,-37.788258,176.318222,POINT(176.318222 -37.788258),Bay of Plenty Region,Western Bay of Plenty District,"Bay of Plenty, Waiariki",Small urban area,Secondary (Year 9-15),,State,1104,492,Open
124,Matamata College,Firth Street ,,Matamata,3440.0,-37.816276,175.770385,POINT(175.770385 -37.816276),Waikato Region,Matamata-Piako District,Waikato,Small urban area,Secondary (Year 9-15),,State,830,479,Open
